File Name, Source/Story,",Raw Sentence,",Components,Compound Word,Tag,Position,",Clean Context,",",Total No Of Compounds",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? ??????? <?????-??????>T6, ?????????, <????-??????>T6, <?????-????????>T6, <????-?????>T6, <????-????>T6, <??-????>T6, <??-?????>T6 <???-??????>T6, <?????-??????>T6, ??????? ????? ????????? ? ????, ", ????-???? , ? , T6 ,98,", ?????? ??????? ?????-??????, ?????????, ????-??????, ?????-????????, ????-?????, ????-????, ??-????, ??-????? ???-??????, ?????-??????, ??????? ????? ????????? ? ????, ",", 9, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? ??????? <?????-??????>T6, ?????????, <????-??????>T6, <?????-????????>T6, <????-?????>T6, <????-????>T6, <??-????>T6, <??-?????>T6 <???-??????>T6, <?????-??????>T6, ??????? ????? ????????? ? ????, ", ??-???? , ? , T6 ,113,", ?????? ??????? ?????-??????, ?????????, ????-??????, ?????-????????, ????-?????, ????-????, ??-????, ??-????? ???-??????, ?????-??????, ??????? ????? ????????? ? ????, ",", 9, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? ??????? <?????-??????>T6, ?????????, <????-??????>T6, <?????-????????>T6, <????-?????>T6, <????-????>T6, <??-????>T6, <??-?????>T6 <???-??????>T6, <?????-??????>T6, ??????? ????? ????????? ? ????, ", ??-????? , ? , T6 ,126,", ?????? ??????? ?????-??????, ?????????, ????-??????, ?????-????????, ????-?????, ????-????, ??-????, ??-????? ???-??????, ?????-??????, ??????? ????? ????????? ? ????, ",", 9, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? ??????? <?????-??????>T6, ?????????, <????-??????>T6, <?????-????????>T6, <????-?????>T6, <????-????>T6, <??-????>T6, <??-?????>T6 <???-??????>T6, <?????-??????>T6, ??????? ????? ????????? ? ????, ", ???-?????? , ? , T6 ,139,", ?????? ??????? ?????-??????, ?????????, ????-??????, ?????-????????, ????-?????, ????-????, ??-????, ??-????? ???-??????, ?????-??????, ??????? ????? ????????? ? ????, ",", 9, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? ??????? <?????-??????>T6, ?????????, <????-??????>T6, <?????-????????>T6, <????-?????>T6, <????-????>T6, <??-????>T6, <??-?????>T6 <???-??????>T6, <?????-??????>T6, ??????? ????? ????????? ? ????, ", ?????-?????? , ? , T6 ,155,", ?????? ??????? ?????-??????, ?????????, ????-??????, ?????-????????, ????-?????, ????-????, ??-????, ??-????? ???-??????, ?????-??????, ??????? ????? ????????? ? ????, ",", 9, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???? ? <???-????????>Km ????? ?????????? ????????? ????????, ", ???-???????? , ? , Km ,8,", ???? ? ???-???????? ????? ?????????? ????????? ????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", <??????-?????>Bsu ?? <??????-???????>T6 ?????????? ??????? ???? ? ??????, ", ??????-????? , ? , Bsu ,1,", ??????-????? ?? ??????-??????? ?????????? ??????? ???? ? ??????, ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", <??????-?????>Bsu ?? <??????-???????>T6 ?????????? ??????? ???? ? ??????, ", ??????-??????? , ? , T6 ,22,", ??????-????? ?? ??????-??????? ?????????? ??????? ???? ? ??????, ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???????? ??????? <?????????-????>T6 ??????? ? ??? ? ????, ", ?????????-???? , ? , T6 ,18,", ???????? ??????? ?????????-???? ??????? ? ??? ? ????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?? ????  ???? <?????-????>T6-?????>T7 ? ?????, ", ?????-???? , ? , T6 ,15,", ?? ????  ???? ?????-????-????? ? ?????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ????? ???? ? ?????? ? <????-????>Bs6 ???????? , ", ????-???? , ? , Bs6 ,23,", ????? ???? ? ?????? ? ????-???? ???????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? <???-??????????? >Di <????-????>K1  ?? <?-????>Tn , ", ???-???????????  , ? , Di ,8,", ?????? ???-???????????  ????-????  ?? ?-???? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? <???-??????????? >Di <????-????>K1  ?? <?-????>Tn , ", ????-???? , ? , K1 ,29,", ?????? ???-???????????  ????-????  ?? ?-???? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? <???-??????????? >Di <????-????>K1  ?? <?-????>Tn , ", ?-???? , ? , Tn ,47,", ?????? ???-???????????  ????-????  ?? ?-???? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???? ?? ? ?????? ?? <??-????>U ?????? ??????? , ", ??-???? , ? , U ,21,", ???? ?? ? ?????? ?? ??-???? ?????? ??????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ????? ????????? ?????????? ? <?-????????>Tn ? ? <?-???????>Tn , ", ?-???????? , ? , Tn ,30,", ????? ????????? ?????????? ? ?-???????? ? ? ?-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ????? ????????? ?????????? ? <?-????????>Tn ? ? <?-???????>Tn , ", ?-??????? , ? , Tn ,49,", ????? ????????? ?????????? ? ?-???????? ? ? ?-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ? <????-????????>K1 ??????? ????? ??????? <???-??????>T7 , ", ????-???????? , ? , K1 ,3,", ? ????-???????? ??????? ????? ??????? ???-?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ? <????-????????>K1 ??????? ????? ??????? <???-??????>T7 , ", ???-?????? , ? , T7 ,43,", ? ????-???????? ??????? ????? ??????? ???-?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???????? ?? ?? <?-??????????>Tn <??-????-??-?????????>Di , ", ?-?????????? , ? , Tn ,16,", ???????? ?? ?? ?-?????????? ??-????-??-????????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???????? ?? ?? <?-??????????>Tn <??-????-??-?????????>Di , ", ??-????-??-????????? , ? , Di ,33,", ???????? ?? ?? ?-?????????? ??-????-??-????????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? <???-???>T7 ?????? <????-???????>Bs6 <???-???????>Bs6 , ", ???-??? , ? , T7 ,9,", ??????? ???-??? ?????? ????-??????? ???-??????? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? <???-???>T7 ?????? <????-???????>Bs6 <???-???????>Bs6 , ", ????-??????? , ? , Bs6 ,28,", ??????? ???-??? ?????? ????-??????? ???-??????? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? <???-???>T7 ?????? <????-???????>Bs6 <???-???????>Bs6 , ", ???-??????? , ? , Bs6 ,46,", ??????? ???-??? ?????? ????-??????? ???-??????? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???? ??????? ???? ????? ????? <?-???????>Tn <????-??????>Bs6 , ", ?-??????? , ? , Tn ,31,", ???? ??????? ???? ????? ????? ?-??????? ????-?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???? ??????? ???? ????? ????? <?-???????>Tn <????-??????>Bs6 , ", ????-?????? , ? , Bs6 ,45,", ???? ??????? ???? ????? ????? ?-??????? ????-?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", <?????-?????>Bs6 ???? ????? ????? ????? ? ????????? , ", ?????-????? , ? , Bs6 ,1,", ?????-????? ???? ????? ????? ????? ? ????????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? <?????-???????>Ds ? ?????? ??????? <???-??????>T6 , ", ?????-??????? , ? , Ds ,8,", ?????? ?????-??????? ? ?????? ??????? ???-?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? <?????-???????>Ds ? ?????? ??????? <???-??????>T6 , ", ???-?????? , ? , T6 ,43,", ?????? ?????-??????? ? ?????? ??????? ???-?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? ??? ?? ???? ?? ? <?-????????>Tn ??? <?-???????>Tn , ", ?-???????? , ? , Tn ,26,", ??????? ??? ?? ???? ?? ? ?-???????? ??? ?-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? ??? ?? ???? ?? ? <?-????????>Tn ??? <?-???????>Tn , ", ?-??????? , ? , Tn ,45,", ??????? ??? ?? ???? ?? ? ?-???????? ??? ?-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???????? ?????? ?????????? ? ??? ????? <?-?????????>Tn , ", ?-????????? , ? , Tn ,40,", ???????? ?????? ?????????? ? ??? ????? ?-????????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ????? ???? ?????? <???????-???????>T7 ? ????? , ", ???????-??????? , ? , T7 ,19,", ????? ???? ?????? ???????-??????? ? ????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? ???? ?????? ?????? ???? <???-??????>T6 , ", ???-?????? , ? , T6 ,33,", ??????? ???? ?????? ?????? ???? ???-?????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", "" <?-????????>Bsmn ???? ??????? ??? ???? <?????-????????>T6 ?????? ?????"", ", ?-???????? , ? , Bsmn ,3,", "" ?-???????? ???? ??????? ??? ???? ?????-???????? ?????? ?????"", ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", "" <?-????????>Bsmn ???? ??????? ??? ???? <?????-????????>T6 ?????? ?????"", ", ?????-???????? , ? , T6 ,43,", "" ?-???????? ???? ??????? ??? ???? ?????-???????? ?????? ?????"", ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ???? ????? ??????? - ""???! ????! <??-??????>U ?????? ??????, ???? ???? <???-??????>T6 ????????? ?????? ??? ??? ?????, ????? ?? ????????, ", ??-?????? , ? , U ,35,",  ???? ????? ??????? - ""???! ????! ??-?????? ?????? ??????, ???? ???? ???-?????? ????????? ?????? ??? ??? ?????, ????? ?? ????????, ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ???? ????? ??????? - ""???! ????! <??-??????>U ?????? ??????, ???? ???? <???-??????>T6 ????????? ?????? ??? ??? ?????, ????? ?? ????????, ", ???-?????? , ? , T6 ,73,",  ???? ????? ??????? - ""???! ????! ??-?????? ?????? ??????, ???? ???? ???-?????? ????????? ?????? ??? ??? ?????, ????? ?? ????????, ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  <?????-??????>T4 ??? ????? ???????? ??? ??? ?????????, ", ?????-?????? , ? , T4 ,2,",  ?????-?????? ??? ????? ???????? ??? ??? ?????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ????????? ???? <????-????????>T6 , ", ????-???????? , ? , T6 ,16,", ????????? ???? ????-???????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ?????????? ????????? <????-???????>T6 ??????, ", ????-??????? , ? , T6 ,23,",  ?????????? ????????? ????-??????? ??????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ???? ???????? <????-????>T6 ??????????, ", ????-???? , ? , T6 ,16,",  ???? ???????? ????-???? ??????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ?????? ??????? <???-??????>T6 , ", ???-?????? , ? , T6 ,17,",  ?????? ??????? ???-?????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? <????-????>T6 ????????, ", ????-???? , ? , T6 ,8,", ?????? ????-???? ????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  <?????-??????>K1 ?????, ", ?????-?????? , ? , K1 ,2,",  ?????-?????? ?????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ??? <????-????????>T6 <????-???????>T6 ???? <????-???>T6 ?????? ?????????, ", ????-???????? , ? , T6 ,6,",  ??? ????-???????? ????-??????? ???? ????-??? ?????? ?????????, ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ??? <????-????????>T6 <????-???????>T6 ???? <????-???>T6 ?????? ?????????, ", ????-??????? , ? , T6 ,24,",  ??? ????-???????? ????-??????? ???? ????-??? ?????? ?????????, ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ??? <????-????????>T6 <????-???????>T6 ???? <????-???>T6 ?????? ?????????, ", ????-??? , ? , T6 ,46,",  ??? ????-???????? ????-??????? ???? ????-??? ?????? ?????????, ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ????? <???-??????>A1 ???????, ??????? ?????? ???????, ", ???-?????? , ? , A1 ,8,",  ????? ???-?????? ???????, ??????? ?????? ???????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? ?????? ??? ???? ???? <???-???>T6-??????>T6 , ", ???-??? , ? , T6 ,30,", ??????? ?????? ??? ???? ???? ???-???-?????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? ?????? ???? ??? <????-??????>T6 , ", ????-?????? , ? , T6 ,25,", ??????? ?????? ???? ??? ????-?????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? ???? <?????-???????>T6 ????????? ????? , ", ?????-??????? , ? , T6 ,13,", ?????? ???? ?????-??????? ????????? ????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ???????  <?????-??????>K1 ??????, ", ?????-?????? , ? , K1 ,11,",  ???????  ?????-?????? ??????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ??? <?????-??????>K7 ?????? ????? ??????? ???? <????-?????>T1 ??????? ???????? ???????, ", ?????-?????? , ? , K7 ,6,",  ??? ?????-?????? ?????? ????? ??????? ???? ????-????? ??????? ???????? ???????, ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ??? <?????-??????>K7 ?????? ????? ??????? ???? <????-?????>T1 ??????? ???????? ???????, ", ????-????? , ? , T1 ,49,",  ??? ?????-?????? ?????? ????? ??????? ???? ????-????? ??????? ???????? ???????, ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? ???? <????-????>K1 ??????? <?????????-???????>T6 , ", ????-???? , ? , K1 ,14,", ??????? ???? ????-???? ??????? ?????????-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? ???? <????-????>K1 ??????? <?????????-???????>T6 , ", ?????????-??????? , ? , T6 ,36,", ??????? ???? ????-???? ??????? ?????????-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", <???-??????>K1 ????? <?????-??????>T6 , ", ???-?????? , ? , K1 ,1,", ???-?????? ????? ?????-?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", <???-??????>K1 ????? <?????-??????>T6 , ", ?????-?????? , ? , T6 ,22,", ???-?????? ????? ?????-?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ??????? <???-?????????>T6 ????? ???????? ???????? ?????, ", ???-????????? , ? , T6 ,10,",  ??????? ???-????????? ????? ???????? ???????? ?????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ????????? ????? ????????  ???? ???????? <???????-???????>T6 , ", ???????-??????? , ? , T6 ,42,",  ????????? ????? ????????  ???? ???????? ???????-??????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???? ??? ? ???????? ?????? ? <???????-????>T6 , ", ???????-???? , ? , T6 ,30,", ???? ??? ? ???????? ?????? ? ???????-???? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", <???-????????>T6 ????? <?????-???????>T6 ? ???? ?????? , ", ???-???????? , ? , T6 ,1,", ???-???????? ????? ?????-??????? ? ???? ?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", <???-????????>T6 ????? <?????-???????>T6 ? ???? ?????? , ", ?????-??????? , ? , T6 ,24,", ???-???????? ????? ?????-??????? ? ???? ?????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? ? ????? ????? ?????????? <??-?????>T6 , ", ??-????? , ? , T6 ,33,", ?????? ? ????? ????? ?????????? ??-????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????????????  ??? ???? ??????? <??-?????>K6 ? , ", ??-????? , ? , K6 ,33,", ?????????????  ??? ???? ??????? ??-????? ? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??? ?????? ?????, ???????? ? <???????-?????????>D1 ?????? ????????????, ", ???????-????????? , ? , D1 ,30,", ??? ?????? ?????, ???????? ? ???????-????????? ?????? ????????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ????? ? ????? <?????-????????>T6 ??????? ????? ?????????? ??????? ????????, ", ?????-???????? , ? , T6 ,16,",  ????? ? ????? ?????-???????? ??????? ????? ?????????? ??????? ????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?? ??????? <?????-????>T6 <????????-???????>T6 ?? <?????-???????>T6 , ", ?????-???? , ? , T6 ,12,", ?? ??????? ?????-???? ????????-??????? ?? ?????-??????? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?? ??????? <?????-????>T6 <????????-???????>T6 ?? <?????-???????>T6 , ", ????????-??????? , ? , T6 ,27,", ?? ??????? ?????-???? ????????-??????? ?? ?????-??????? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?? ??????? <?????-????>T6 <????????-???????>T6 ?? <?????-???????>T6 , ", ?????-??????? , ? , T6 ,51,", ?? ??????? ?????-???? ????????-??????? ?? ?????-??????? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ????? <?-????????>BvS ?????? ??????? <???-??????>K1 ?????? <?????-?????>T6 , ", ?-???????? , ? , BvS ,8,",  ????? ?-???????? ?????? ??????? ???-?????? ?????? ?????-????? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ????? <?-????????>BvS ?????? ??????? <???-??????>K1 ?????? <?????-?????>T6 , ", ???-?????? , ? , K1 ,39,",  ????? ?-???????? ?????? ??????? ???-?????? ?????? ?????-????? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ????? <?-????????>BvS ?????? ??????? <???-??????>K1 ?????? <?????-?????>T6 , ", ?????-????? , ? , T6 ,61,",  ????? ?-???????? ?????? ??????? ???-?????? ?????? ?????-????? , ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ????????? <????-??????>T6 <?????-??????????>T6 , ", ????-?????? , ? , T6 ,11,", ????????? ????-?????? ?????-?????????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ????????? <????-??????>T6 <?????-??????????>T6 , ", ?????-?????????? , ? , T6 ,27,", ????????? ????-?????? ?????-?????????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ?????  <?????-???????>T6 ???????? ????????? ??????? ???????? ????? ????? ???????, ", ?????-??????? , ? , T6 ,9,",  ?????  ?????-??????? ???????? ????????? ??????? ???????? ????? ????? ???????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  <????-???????>K1 <????-?????????>T6 ?? ??????? ??????? <???-??????>K1 ???????????, ", ????-??????? , ? , K1 ,2,",  ????-??????? ????-????????? ?? ??????? ??????? ???-?????? ???????????, ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  <????-???????>K1 <????-?????????>T6 ?? ??????? ??????? <???-??????>K1 ???????????, ", ????-????????? , ? , T6 ,19,",  ????-??????? ????-????????? ?? ??????? ??????? ???-?????? ???????????, ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  <????-???????>K1 <????-?????????>T6 ?? ??????? ??????? <???-??????>K1 ???????????, ", ???-?????? , ? , K1 ,57,",  ????-??????? ????-????????? ?? ??????? ??????? ???-?????? ???????????, ",", 3, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ????? ? ????????? <???-?????????>T6 ???????? ?????? ??????  <?????-???????>T6 ?????? ????? ?????????, ", ???-????????? , ? , T6 ,19,", ????? ? ????????? ???-????????? ???????? ?????? ??????  ?????-??????? ?????? ????? ?????????, ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ????? ? ????????? <???-?????????>T6 ???????? ?????? ??????  <?????-???????>T6 ?????? ????? ?????????, ", ?????-??????? , ? , T6 ,61,", ????? ? ????????? ???-????????? ???????? ?????? ??????  ?????-??????? ?????? ????? ?????????, ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ???? ????? ????? ????????? ????????? ??????????? ? ???????? ????????? <????-?????>T7 ????????? ?????????, ", ????-????? , ? , T7 ,72,",  ???? ????? ????? ????????? ????????? ??????????? ? ???????? ????????? ????-????? ????????? ?????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  <?????-????????>T6 ??????? ????????? ?????, ", ?????-???????? , ? , T6 ,2,",  ?????-???????? ??????? ????????? ?????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????  ???????? ???????? ????? ??????????? ? <???-???-??????>T6", ????????????? , ???-???-?????? , ? , T6 ,", 46, ",", ?????  ???????? ???????? ????? ??????????? ? ???-???-??????"," ?????????????, ",", 1, "
balaramayanam_S.txt , Valmiki Ramayanam ,",  ???? ???????? ?? ?????? ?????????? <?????-???????>T6 ? ?????, ", ?????-??????? , ? , T6 ,37,",  ???? ???????? ?? ?????? ?????????? ?????-??????? ? ?????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ?????? ???????? ?? ???????? ?? ????? ??????? ????? ???????? ? <??????-?????????>Bs3 ?????, ", ??????-????????? , ? , Bs3 ,64,",  ?????? ???????? ?? ???????? ?? ????? ??????? ????? ???????? ? ??????-????????? ?????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ??  ?????  ????  ????  ?????? <?????-????>K6 ??????  ???????  ????? ? ????, ", ?????-???? , ? , K6 ,32,",  ??  ?????  ????  ????  ?????? ?????-???? ??????  ???????  ????? ? ????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??? ? ?????? ?????? ?????? ?? <?????-????>T6 ??????????, ", ?????-???? , ? , T6 ,31,", ??? ? ?????? ?????? ?????? ?? ?????-???? ??????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  ????? ??????? <?????-???????>T6 , ", ?????-??????? , ? , T6 ,16,",  ????? ??????? ?????-??????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,",  <?????-??????>T6 ?????? ??????  ???????  ?????, ", ?????-?????? , ? , T6 ,2,",  ?????-?????? ?????? ??????  ???????  ?????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?? ???? ????? ????????????  ?????? ????? ???????? <?????-????????>T6 ? ????????? ???????, ", ?????-???????? , ? , T6 ,51,", ?? ???? ????? ????????????  ?????? ????? ???????? ?????-???????? ? ????????? ???????, ",", 1, ",,
