Frequency,Query Word,Option A,Option B,Option C,Option D
'Rarely Occuring', 'kAYcanAraH', 'kovidAraH', 'camarikaH', 'kuddAlaH', 'nirRI'
'Not occuring', 'avyavasTita', 'anavasTita', 'astavyasta', 'asaMsTita', 'hA'
'Not occuring', 'niraNkuSa', 'svecCAcArin', 'svacCanda', 'yaTecCAcArin', 'prakamp'
'Rarely Occuring', 'sahfdayatA', 'anfSaMsatA', 'dayASIlatA', 'karuRAmayatA', 'rajasvalA'
'Rarely Occuring', 'sAmaYjasyam', 'sOmanasyam', 'anusAritA', 'yaTAtaTyam', 'saMtejaya'
'Not occuring', 'gopanIyatA', 'guptatA', 'guhyatA', 'gopyatA', 'prasAriRI'
'Rarely Occuring', 'pratikUlatA', 'viparItatA', 'virudDatA', 'vEparItyam', 'pratigam'
'Rarely Occuring', 'sadguRaH', 'guRaH', 'suguRaH', 'sulakzaRam', 'KelanI'
'Not occuring', 'visaNgatiH', 'asaNgatiH', 'asaNgatatA', 'visaNgatatA', 'sabala'
'Frequently Occuring', 'anujaH', 'jaGanyajaH', 'kanizWaH', 'yavIyAn', 'vfdDyAjIvaH'
'Frequently Occuring', 'agrajaH', 'pUrvajaH', 'agriyaH', 'jyezWaH', 'avanamra'
'Not occuring', 'anupasTita', 'avidyamAna', 'avartamAna', 'anupasTAyin', 'apagam'
'Rarely Occuring', 'upasTita', 'vidyamAna', 'vartamAna', 'aBImuKa', 'BIruH'
'Frequently Occuring', 'vartamAna', 'tAtkAlika', 'tatkzaRika', 'sadyakAlIna', 'vam'
'Rarely Occuring', 'aByupagamaH', 'saMvid', 'prasaMvidA', 'prasaMvedanam', 'Ayatta'
'Not occuring', 'anuyogADInatA', 'anusanDAnADInatA', 'vicArADInatA', 'AhvAnADInatA', 'viSAlatA'
'Frequently Occuring', 'vARijyam', 'vARijyA', 'vaRikpaTam', 'vaRigBAvaH', 'jita'
'Frequently Occuring', 'anuBavaH', 'parIkzaRam', 'vedanam', 'pratItiH', 'viS'
'Not occuring', 'anuBavin', 'pakva', 'kovida', 'paripakva', 'antevAsI'
'Rarely Occuring', 'anujYA', 'anujYAnam', 'samujYAnam', 'aByanujYA', 'nalinIruham'
'Frequently Occuring', 'anumatiH', 'sammatiH', 'svIkftiH', 'anumatam', 'SarAvaH'
'Not occuring', 'udyogin', 'prayatnavat', 'udyukta', 'karmodyukta', 'jyotiH'
'Frequently Occuring', 'aneka', 'viviDa', 'nAnA', 'nEka', 'patrin'
'Rarely Occuring', 'vAtsalyam', 'vatsalatA', 'snehaH', 'prItiH', 'mftyupuz'
'Not occuring', 'ananyarUpa', 'aBinnarUpa', 'sama', 'samAna', 'vilopaH'
'Not occuring', 'nElamaRqala', 'nIlamaRqalIya', 'nElacarma', 'nElavarRa', 'bAlapatraH'
'Frequently Occuring', 'prArTanA', 'prArTanam', 'aByarTanA', 'vinatiH', 'lokaH'
'Frequently Occuring', 'yAcanA', 'patram', 'Avedana', 'patram', 'anAtApaH'
'Rarely Occuring', 'BAzAntaram', 'BAzAntarIkaraRam', 'avataraRam', 'avatAraH', 'alAyAsaH'
'Not occuring', 'anuvAdita', 'kftiH', 'BAzAntarita', 'kftiH', 'anunAdaH'
'Frequently Occuring', 'vivaraRam', 'vyAKyA', 'vyAKyAnam', 'vivftiH', 'praPu'
'Frequently Occuring', 'anvezaRam', 'gavezaRA', 'SoDaH', 'anusanDAnam', 'tIkzRaSrUkaH'
'Frequently Occuring', 'cintanam', 'cintA', 'vicAraRam', 'vicAraRA', 'kOtukam'
'Frequently Occuring', 'GfRA', 'aprItiH', 'dvezaH', 'vidvezaH', 'enasvI'
'Not occuring', 'asamarUpa', 'BinnarUpa', 'BinnarUpin', 'vizamarUpin', 'kapi'
'Frequently Occuring', 'sandeSaH', 'sandizwaH', 'vArtA', 'dUtyam', 'avaroDapUrRa'
'Rarely Occuring', 'spazwIkaraRam', 'vyAKyA', 'prakASanam', 'vivaraRam', 'kararuhaH'
'Rarely Occuring', 'vEkalpika', 'vikalpaka', 'savikalpaka', 'Anukalpika', 'vijayo'
'Not occuring', 'vikalANga', 'vikala', 'CinANga', 'hInANga', 'yAnam'
'Rarely Occuring', 'madIya', 'mAmaka', 'mAmakIna', 'AtmIya', 'aDivAcakaSabdaH'
'Not occuring', 'svajanaH', 'banDuH', 'bAnDavaH', 'sambanDI', 'SiKADaraH'
'Not occuring', 'deSaja', 'deSIya', 'dESika', 'deSodBava', 'anAcaraRam'
'Frequently Occuring', 'aparADaH', 'pApam', 'dozaH', 'pAtakam', 'kARqam'
'Not occuring', 'aparAdDa', 'aparADin', 'sAparADa', 'kftAparADa', 'avaboDaH'
'Rarely Occuring', 'aparAhRaH', 'agnivelA', 'parAhRa', 'vEkAlaH', 'jalayantram'
'Frequently Occuring', 'apavAdaH', 'nizeDaH', 'vyAvftiH', 'varjaH', 'DarmanizWA'
'Rarely Occuring', 'aparAdDaH', 'aparAdDA', 'aparADI', 'pAtakI', 'grahaRam'
'Frequently Occuring', 'AkzepaH', 'apavAdaH', 'parivAdaH', 'aBiSaMsanam', 'Bram'
'Rarely Occuring', 'ucCizwa', 'Seza', 'Sezita', 'vEGasika', 'droRI'
'Rarely Occuring', 'kuvacanam', 'duruktiH', 'apaSabdaH', 'durAlApaH', 'kuwajaH'
'Not occuring', 'svajanaH', 'jYAtiH', 'sva', 'kuwumbiyaH', 'viraha'
'Rarely Occuring', 'tvadIya', 'tava', 'BavataH', 'BavadIyaH', 'spazwIkf'
'Rarely Occuring', 'videSIya', 'parakIya', 'anyadeSIya', 'pArakya', 'AkASacArin'
'Frequently Occuring', 'atiTi', 'gfham', 'atiTi', 'Bavanam', 'alakA'
'Frequently Occuring', 'hradaH', 'jalASayaH', 'jalADAraH', 'jalAkaraH', 'drohAwa'
'Rarely Occuring', 'pUjanIya', 'upAsanIya', 'upAsya', 'arcanIya', 'saMvftta'
'Not occuring', 'pUjita', 'ArADita', 'upAsita', 'arcita', 'paripozaka'
'Frequently Occuring', 'agrajA', 'jyezWa', 'BaginI', 'attikA', 'sahanIya'
'Frequently Occuring', 'ayaH', 'loham', 'lohaH', 'Ayasam', 'katT'
'Rarely Occuring', 'pratipakzI', 'vipakzI', 'vivAdI', 'prativAdI', 'Svastanam'
'Frequently Occuring', 'AryaH', 'AryajanaH', 'AryamiSraH', 'sADuH', 'pfzWavaMSasanDiH'
'Frequently Occuring', 'KalaH', 'durjanaH', 'duzwaH', 'aDamaH', 'vinizpizwaH'
'Frequently Occuring', 'nAmaDeyam', 'nAma', 'nAmaDeyaH', 'saMjYA', 'vyasta'
'Frequently Occuring', 'SaniH', 'SanEScaraH', 'SOriH', 'sOraH', 'kakudmatI'
'Not occuring', 'viru', 'kruS', 'Ahve', 'AkruS', 'vidArita'
'Not occuring', 'rud', 'prarud', 'krand', 'kruS', 'bilvam'
'Rarely Occuring', 'gE', 'anugE', 'aBigE', 'pragE', 'avamfj'
'Not occuring', 'aBiSvas', 'pariniHstan', 'vistan', 'kzIj', 'bahukandA'
'Frequently Occuring', 'aSrURi', 'pat', 'aSrURi', 'niHsf', 'durvinIta'
'Not occuring', 'vilap', 'aBilap', 'Alap', 'paridiv', 'sopAnapaNktiH'
'Not occuring', 'upaSlAG', 'tarj', 'jarj', 'Barts', 'SaraH'
'Not occuring', 'Avizkf', 'vyaYj', 'aBivyaYj', 'vyaktIkf', 'mfgervAruH'
'Not occuring', 'aBivyaYj', 'vyaYj', 'vyaktIkf', 'Avizkf', 'vizayi'
'Not occuring', 'satyaSIla', 'satya', 'satyaka', 'satyavftta', 'ro'
'Not occuring', 'viSvasanIya', 'viSvasta', 'viSrabDa', 'viSvAsya', 'viharaRam'
'Frequently Occuring', 'kalpita', 'kAlpanika', 'ayaTArTa', 'manoBava', 'sArAMSam'
'Not occuring', 'BAjakaH', 'harakaH', 'hArakaH', 'aNkahArakaH', 'avagal'
'Rarely Occuring', 'lipI', 'libI', 'lipiH', 'liKitam', 'nyAyADipatiH'
'Rarely Occuring', 'pfzWavaMSaH', 'rIQakaH', 'kaSeruH', 'kaSeru', 'nAlikeraH'
'Frequently Occuring', 'dantaH', 'daSanaH', 'daSanam', 'radaH', 'grahaH'
'Rarely Occuring', 'hIram', 'hIrakaH', 'dfQANgam', 'lohajit', 'pratida'
'Rarely Occuring', 'kaRaH', 'binduH', 'kzodaH', 'vipluw', 'DvaMs'
'Not occuring', 'kzudrapiRqaH', 'piRqaH', 'kzudraKaRqaH', 'nizekaH', 'upasevaya'
'Rarely Occuring', 'budbudaH', 'qimbikA', 'sPAraH', 'gaRqaH', 'atiCatraH'
'Not occuring', 'KarozwrI', 'KarozwrI', 'lipiH', 'gAnDAra', 'nirAkf'
'Frequently Occuring', 'nItiH', 'nayaH', 'vyavasTA', 'niyamaH', 'sOriH'
'Rarely Occuring', 'daMzwrA', 'carvaRA', 'mahAdantaH', 'dAQA', 'pAtakam'
'Not occuring', 'vyavakalanam', 'vyavakalitam', 'antaram', 'varjanam', 'romeSaH'
'Not occuring', 'guRanakarma', 'guRanam', 'aBihatiH', 'AhatiH', 'tapasvin'
'Not occuring', 'BAgaharaH', 'BAgahAraH', 'haraRam', 'Cedanam', 'hiNgukaH'
'Not occuring', 'raktakoSikA', 'ruDirakaRam', 'ruDirakoSikA', 'raktakaRikA', 'BartfdArikA'
'Not occuring', 'anugrAhin', 'upakArin', 'anukUla', 'anugrahaSIla', 'jvaraH'
'Not occuring', 'lokopakAraH', 'janakalyARam', 'janasevA', 'lokahitam', 'bAtaBojyaH'
'Not occuring', 'janahitEzin', 'janahitecCu', 'janahitepsu', 'janopakAraSIla', 'pArApataH'
'Rarely Occuring', 'anEcCika', 'akAmika', 'anaBikAmika', 'akAmya', 'aparipUta'
'Frequently Occuring', 'mUzakaH', 'mUzikaH', 'mUzaH', 'AKuH', 'kAruRyam'
'Not occuring', 'pfzWAsTimAn', 'pfzWavaMSaviSizwaH', 'kaSerukI', 'merudaRqI', 'upavarRanam'
'Frequently Occuring', 'leKanI', 'AleKanI', 'kalamaH', 'tUliH', 'gurutA'
'Rarely Occuring', 'citrita', 'varRita', 'varRagata', 'raYjita', 'nAlikeraH'
'Frequently Occuring', 'tulA', 'tulArASiH', 'yUkaH', 'yuk', 'samaDiruh'
'Rarely Occuring', 'karkaH', 'karkawaH', 'karkarASiH', 'karkawarASiH', 'parityaj'
'Frequently Occuring', 'veRuH', 'vaMSaH', 'vaMSI', 'muralI', 'paryaw'
'Rarely Occuring', 'sTAnAntare', 'anyatra', 'itaratra', 'paratra', 'vidyA'
'Not occuring', 'utTitiH', 'utTAnam', 'samutTAnam', 'aByutTAnam', 'puzwiH'
'Rarely Occuring', 'tatvam', 'mUlavastU', 'mUlam', 'BUtam', 'cubram'
'Not occuring', 'laGuveRuH', 'laGuvaMSaH', 'laGuvaMSI', 'laGumuralI', 'sinDuH'
'Not occuring', 'nAsikaveRuH', 'nAsikavaMSaH', 'nAsikavaMSI', 'nAsikamuralI', 'laGudarduraH'
'Frequently Occuring', 'vAdyam', 'vAditram', 'tUryam', 'Atodyam', 'catvara'
'Not occuring', 'tantuvAdyam', 'tantrIvAdyam', 'tAravAdyam', 'tatam', 'kfSalA'
'Frequently Occuring', 'vIRA', 'GozavatI', 'vipaYcI', 'vipaYcikA', 'vya'
'Rarely Occuring', 'stanAgram', 'stanamuKam', 'stanamuKaH', 'stanaSiKA', 'viSvAsaGAtakaH'
'Frequently Occuring', 'sTUla', 'pIvara', 'pIna', 'medura', 'piSitam'
'Not occuring', 'cAwuka', 'vAcAwa', 'vAvaduka', 'vitaRqaka', 'muzAya'
'Frequently Occuring', 'dugDam', 'kzIram', 'pIyUzam', 'uDasyam', 'padAt'
'Not occuring', 'ambukaRaH', 'udabinduH', 'udastokaH', 'udakabinduH', 'paripA'
'Not occuring', 'maDyakAlaH', 'kAlAntaram', 'aByantarakAlaH', 'avakASaH', 'svabanDuH'
'Rarely Occuring', 'pizwakaH', 'pUpaH', 'apUpaH', 'SuzkApUpikA', 'lohajit'
'Rarely Occuring', 'asAmarTyam', 'aSaktiH', 'aSaktatA', 'aSaktatvam', 'sannAhaya'
'Not occuring', 'aBizyanda', 'aBisyanda', 'parizyandin', 'parisyandin', 'ravikAntaH'
'Not occuring', 'pUpaH', 'apUpaH', 'pizwakaH', 'karamBaH', 'Akfz'
'Not occuring', 'guJiyAH', 'goJiyAH', 'pirAkam', 'saMyAvaH', 'tantravAyaH'
'Frequently Occuring', 'pucCam', 'pucCaH', 'lANgulam', 'lANgUlam', 'manohara'
'Frequently Occuring', 'pucCam', 'lANgUlam', 'laNgUlam', 'lUmaH', 'ApA'
'Frequently Occuring', 'bAhuH', 'BujA', 'karaH', 'pravezwaH', 'vikas'
'Rarely Occuring', 'veSaH', 'vezaH', 'vastram', 'vAsaH', 'liNganASaH'
'Rarely Occuring', 'ISvarIya', 'divya', 'devakIya', 'dEva', 'KaloktiH'
'Rarely Occuring', 'preraka', 'preraRAdAyaka', 'preraRAtmaka', 'preraRAspada', 'javena'
'Rarely Occuring', 'prAntaH', 'upAntam', 'samantaH', 'paryantam', 'sarvagatatvam'
'Frequently Occuring', 'bAhya', 'SArIrika', 'BAgaH', 'bAhya', 'praSastyAm'
'Frequently Occuring', 'aNgAraH', 'alAtam', 'ulmUkam', 'AlAtam', 'pratyAdiS'
'Rarely Occuring', 'ulkA', 'KolkA', 'KolkaH', 'agnyutpAtaH', 'vad'
'Rarely Occuring', 'ArtanAdaH', 'ArtAravaH', 'paridevanam', 'nizwanaH', 'medura'
'Rarely Occuring', 'prapatitam', 'sKalita', 'avakzipta', 'avagata', 'puzparasaH'
'Frequently Occuring', 'mAnuza', 'mAnuzika', 'mAnavIna', 'mAnavIya', 'hAniH'
'Frequently Occuring', 'DvajaH', 'patAkA', 'DvajapawaH', 'DvajAMSukaH', 'laNgA'
'Frequently Occuring', 'aprApya', 'aprApta', 'alabDa', 'anavApta', 'jagalam'
'Frequently Occuring', 'spazwam', 'prakawam', 'vyaktam', 'sPuwam', 'kAlatAlaH'
'Not occuring', 'svArTapara', 'svArTabudDi', 'svArTaparAyaRa', 'svArTIn', 'yoniH'
'Not occuring', 'nirdaya', 'nizWura', 'krUra', 'durvftta', 'vizwiH'
'Rarely Occuring', 'ramya', 'ramaRIya', 'Anandamaya', 'suKada', 'pItI'
'Not occuring', 'Anandin', 'sAnandaH', 'prahfzwa', 'Anandavftti', 'kf'
'Not occuring', 'asvIkfta', 'asammata', 'anaBimata', 'amata', 'mfS'
'Not occuring', 'BrURIya', 'koSikA', 'racanAtmaka', 'koSikA', 'mahANAgaH'
'Rarely Occuring', 'culliH', 'aSmantam', 'udDanam', 'aDiSrayaRI', 'arimedaH'
'Not occuring', 'pUjita', 'ArADita', 'upAsita', 'arcita', 'ijjalaH'
'Frequently Occuring', 'tuvarI', 'tuvaraH', 'kazAya', 'yAvAnalaH', 'apiSIrRa'
'Frequently Occuring', 'tuvarI', 'tuvaraH', 'kazAya', 'yAvAnalaH', 'nArikeraH'
'Not occuring', 'anapekzita', 'apratyASita', 'nirapekzita', 'asamBAvita', 'avaSyatA'
'Rarely Occuring', 'anukUla', 'anusAra', 'avirudDa', 'anugata', 'aDamatA'
'Frequently Occuring', 'apa', 'man', 'nikf', 'ava', 'udyoga'
'Not occuring', 'taq', 'tuq', 'tud', 'Ahan', 'kzitijA'
'Rarely Occuring', 'pAdaprahAraM', 'kf', 'pAdena', 'taq', 'suganDapatrA'
'Frequently Occuring', 'AGAtaH', 'aBiGAtaH', 'GAtaH', 'AhatiH', 'cAwukAra'
'Frequently Occuring', 'kazwena', 'duHKena', 'kazwaM', 'kfcCreRa', 'SItakaH'
'Rarely Occuring', 'saNGaSaH', 'ekIBUya', 'saMBUya', 'samBUya', 'manAk'
'Rarely Occuring', 'jAlakam', 'uRqukaH', 'niDA', 'Sik', 'preNKolanam'
'Rarely Occuring', 'vAmahastaH', 'vAmapARiH', 'savyam', 'vAmabAhuH', 'SiSukaH'
'Rarely Occuring', 'lalAwaH', 'lalAwam', 'atikam', 'goDiH', 'pragE'
'Not occuring', 'uSIraH', 'aBayam', 'naladam', 'sevyam', 'yAtrA'
'Not occuring', 'ikzumUlam', 'rasAlamUlam', 'karkowakamUlam', 'vaMSamUlam', 'pratibanDaka'
'Not occuring', 'padmakandaH', 'kamalakandaH', 'SAlUkam', 'padmamUlam', 'vilambanam'
'Rarely Occuring', 'nAlaH', 'daRqaH', 'voRwaH', 'stamBaH', 'asaByajanaH'
'Rarely Occuring', 'vanaspati', 'aNgam', 'vanaspati', 'avayavaH', 'gatihInA'
'Rarely Occuring', 'hyaH', 'kalyam', 'gatadinam', 'gatadivasam', 'grah'
'Rarely Occuring', 'pUjanIya', 'pUjya', 'vandanIya', 'vandya', 'upAkf'
'Frequently Occuring', 'raktaH', 'raktA', 'raktam', 'lohitaH', 'pAlanaM'
'Rarely Occuring', 'harit', 'haritaH', 'haritA', 'haritariRi', 'niricCa'
'Frequently Occuring', 'nIlaH', 'nIlA', 'nIlam', 'nIlavarRaH', 'veSaraH'
'Rarely Occuring', 'amAvasyA', 'amAvAsyA', 'darSaH', 'sUryendusaNgamaH', 'upadravaH'
'Frequently Occuring', 'pUrRimA', 'pOrRimA', 'pOrRamAsI', 'rAkA', 'vIcI'
'Not occuring', 'maDyarAtraH', 'arDarAtraH', 'arDaniSA', 'mahArAtraH', 'lohaSlezaRaH'
'Frequently Occuring', 'makzikA', 'BamBaH', 'nAcikA', 'ganDatotupA', 'upasTA'
'Not occuring', 'aRqagranTiH', 'vfzaRaH', 'muzkaH', 'kozaH', 'mandavAraH'
'Rarely Occuring', 'Svetacandanam', 'malayodBavam', 'malayajam', 'Svetacandanam', 'smarAN'
'Rarely Occuring', 'pallavaH', 'pallavam', 'kisalayaH', 'pravAlam', 'nivAraya'
'Frequently Occuring', 'SAKA', 'skanDaH', 'SiKA', 'bAhuH', 'CadaH'
'Rarely Occuring', 'kusumita', 'kusumavAna', 'puzpita', 'praPulla', 'agnivAhaH'
'Not occuring', 'puzpahIna', 'apuzpita', 'puzparahita', 'apuzpa', 'Scyut'
'Frequently Occuring', 'asTi', 'asTikam', 'kulyam', 'haqqam', 'asfgDarA'
'Rarely Occuring', 'cEtraH', 'cEtrikaH', 'maDuH', 'cEtrI', 'vivastra'
'Frequently Occuring', 'daSA', 'avasTA', 'sTitiH', 'saMsTitiH', 'DAtrikA'
'Not occuring', 'atyAhArin', 'atiBojin', 'udara', 'parAyaRa', 'avismftiH'
'Frequently Occuring', 'samAptiH', 'nizpattiH', 'sidDiH', 'nivfttiH', 'divyaH'
'Not occuring', 'jAlikaH', 'DIvaraH', 'dAseraH', 'mEnAlaH', 'spfzwiH'
'Not occuring', 'ASAvat', 'ASAnvita', 'ASAvizwa', 'spfhayAlu', 'cIwikA'
'Not occuring', 'SUnyamaDya', 'SUnyagarBa', 'SUnyodara', 'suzira', 'vyAdiS'
'Not occuring', 'Bakzaka', 'KAdaka', 'attf', 'Boktf', 'pramlAnIBU'
'Not occuring', 'niHSaNka', 'anASaNkita', 'avitarkita', 'avEkalpika', 'saktuPalA'
'Not occuring', 'puttalI', 'dAruputrikA', 'pAYcAlikA', 'pAYcalikA', 'pratisAraya'
'Frequently Occuring', 'parAjayaH', 'parABavaH', 'hArI', 'hAriH', 'pA'
'Frequently Occuring', 'svasA', 'BaginI', 'sahodarA', 'sodaryo', 'tiraskftiH'
'Not occuring', 'vimAtfjA', 'vEmAtreyI', 'vEmAtrA', 'anyodaryA', 'dIptimat'
'Not occuring', 'kukkarI', 'SvAnI', 'sArameyI', 'SunI', 'nASaH'
'Rarely Occuring', 'labDiH', 'Aptam', 'Palam', 'BAgaH', 'caWcalA'
'Frequently Occuring', 'ciYcA', 'amlaPalaH', 'amlavfkzaH', 'AmlikA', 'saNKAd'
'Rarely Occuring', 'anEtika', 'nEtikatAhIna', 'anItipUrRa', 'anucita', 'aDoBAgaH'
'Rarely Occuring', 'mUlakaH', 'mUlakam', 'sekimam', 'pAwIraH', 'aDyApaya'
'Frequently Occuring', 'upacAraH', 'upacaryA', 'cikitsA', 'rukpratikriyA', 'yAcanam'
'Not occuring', 'PaladAtA', 'PalagrAhI', 'PalegrAhI', 'PaladaH', 'sindrakaH'
'Frequently Occuring', 'saNketaH', 'prajYaptiH', 'pariBAzA', 'SElI', 'vyavaDiH'
'Frequently Occuring', 'padArTaH', 'vastu', 'dravyam', 'sattvam', 'saMviDA'
'Frequently Occuring', 'prARI', 'jantuH', 'cetanaH', 'jIvI', 'saraRam'
'Rarely Occuring', 'pikaH', 'kokIlaH', 'vasantadUtaH', 'paraBftaH', 'visarpaya'
'Rarely Occuring', 'caYcuH', 'caYcUH', 'trowiH', 'caYcukA', 'vakratuRqaH'
'Frequently Occuring', 'uragaH', 'sarIsfpaH', 'sarpaRaSIlaH', 'urogaH', 'pAdaH'
'Rarely Occuring', 'vizaDaraH', 'vizamayaH', 'vizadaH', 'garalI', 'lambakarRaH'
'Not occuring', 'sPawaH', 'PaRaH', 'PuwaH', 'sarpaPaRaH', 'devAgAraH'
'Frequently Occuring', 'uragaH', 'urogAmI', 'urogaH', 'urogamaH', 'kAveram'
'Not occuring', 'avanatikArin', 'aDopatanakArin', 'patanakArin', 'avarohaka', 'pratijYApatram'
'Not occuring', 'viparitagAmin', 'pratigAmin', 'vyatikrAnta', 'viparitagatika', 'parizad'
'Rarely Occuring', 'AtmakaTA', 'AtmakaTana', 'AtmavfttAntaracanam', 'Atmacaritraracanam', 'harzaka'
'Frequently Occuring', 'kendra', 'binduH', 'kendram', 'maDya', 'SyAmA'
'Rarely Occuring', 'SrAvaRaH', 'naBAH', 'naBaH', 'SrAvaRikaH', 'boDapUrvam'
'Rarely Occuring', 'pOzaH', 'tEzaH', 'sahasyaH', 'pOzikaH', 'SitaDAram'
'Rarely Occuring', 'eraRqaH', 'amaNgalaH', 'amaRqaH', 'asAraH', 'kAmI'
'Rarely Occuring', 'atasI', 'umA', 'caRakA', 'kzOmI', 'maRqam'
'Not occuring', 'pracCadapawaH', 'pracCadavastram', 'uttarapracCadaH', 'uttaraCadaH', 'manasvin'
'Not occuring', 'unnatikArin', 'utkarzakArin', 'unnAyaka', 'unnatakArin', 'atikramaRam'
'Not occuring', 'taTyapUrRa', 'taTyAtmaka', 'prAmARika', 'sArapUrRa', 'upAs'
'Not occuring', 'paryyaNkaH', 'palyaNkaH', 'SayyA', 'Sayanam', 'aDikAraH'
'Rarely Occuring', 'yavanikA', 'javanikA', 'apawI', 'tiraskaraRI', 'kukarma'
'Rarely Occuring', 'CAdanam', 'AcCAdanam', 'pracCAdanam', 'piDAnam', 'i'
'Rarely Occuring', 'prAvaraRam', 'AcCAdakam', 'pracCadapawaH', 'kambalam', 'udyamaSIla'
'Rarely Occuring', 'kambalam', 'rallakaH', 'veSakaH', 'romayoniH', 'sadasyaH'
'Not occuring', 'AmuKam', 'BUmikA', 'prastAvanA', 'muKabanDam', 'rudralatA'
'Not occuring', 'saMgrahita', 'saMcita', 'saMgfhIta', 'saMkalita', 'aBiBUta'
