Frequency,Query Word,Option A,Option B,Option C,Option D
' Frequently Occuring', 'ADikyam', 'aDikatA', 'paridarSaya', 'kavI', 'svataMtratAsEnikaH'
'Not occuring', 'Anamita', 'AnAmita', 'unmatta', 'apahAriRI', 'somavAsaraH'
'Not occuring', 'AntarjAla', 'sevA', 'upajIvin', 'aByudi', 'vijYAta'
'Not occuring', 'AntarjAla', 'sevA', 'muktiH', 'paTa', 'sahakAryam'
'Rarely Occuring', 'Avartanam', 'aByAvfttiH', 'Brazwa', 'stanaya', 'nibanD'
'Rarely Occuring', 'AvegaH', 'vegaH', 'avaDiH', 'sara', 'kapardaH'
'Not occuring', 'icCAmftyuH', 'dayAmftyuH', 'cakradraMzwraH', 'anuBAvaH', 'yUTa'
'Not occuring', 'inwarasarvisija', 'inwelajansam', 'parizkf', 'kapiDvajaH', 'sOmyaH'
'Rarely Occuring', 'inqiyana', 'bENka', 'ISopanizad', 'pramatta', 'udBijam'
'Not occuring', 'ilinoisarAjyam', 'ilinAyarAjyam', 'cAturakaH', 'agniparvataH', 'rasAmlam'
'Rarely Occuring', 'utkawa', 'pAgala', 'SarAvApaH', 'aDilABAMSaH', 'kzIravidArI'
'Rarely Occuring', 'utkIrRa', 'pratimA', 'SavAcCAdanam', 'avamfj', 'ftam'
'Rarely Occuring', 'utpAda', 'Sulkam', 'drAkayAnam', 'ahitam', 'suratam'
'Not occuring', 'utsAhajanaka', 'utsAhavarDaka', 'AratiH', 'niruddeSya', 'aDyakzaH'
'Rarely Occuring', 'udaravedanA', 'jaWaravyaTA', 'madyapAtram', 'parimanTaratA', 'parigrah'
' Frequently Occuring', 'upatyakA', 'aDoBUmiH', 'SamI', 'kanakam', 'yUkAH'
'Not occuring', 'ecaqIePasI', 'bENka', 'kAlapUgaH', 'guRAguRaparIkzA', 'tantuvAyaH'
'Not occuring', 'epala', 'udyogasaMsTA', 'kuSasTalI', 'lomavivaram', 'aSvAvatAraH'
' Frequently Occuring', 'kanizWA', 'kanizWa', 'divya', 'preNKA', 'sAdButa'
'Not occuring', 'kAnDAranagaram', 'kanDAranagaram', 'ataH', 'darpaRaH', 'satkAraH'
'Not occuring', 'kuwIravAsI', 'kOwIryA', 'Amoda', 'upapIqita', 'luzDa'
' Frequently Occuring', 'kuwumbaH', 'kuwumbam', 'vAtsalyam', 'aByUzaH', 'Svetakam'
'Not occuring', 'kUragIBAzA', 'koqaguBAzA', 'sADanaleKaH', 'kendrIya', 'vraSc'
'Not occuring', 'kfzRanetrapawalam', 'kfzRapawalam', 'pASarajjuH', 'vizadaH', 'kuntalaH'
' Frequently Occuring', 'kendrIya', 'Arakzitapulisabalam', 'kAYcana', 'luptaprAya', 'nizpattraH'
' Frequently Occuring', 'kendrIya', 'BUmigata', 'praKyApanam', 'yamalam', 'mAtfkukziH'
' Frequently Occuring', 'kendrIya', 'satarkatA', 'hantA', 'Putkf', 'yuvatiH'
' Frequently Occuring', 'kendrIya', 'satarkatA', 'kUzmARqakaH', 'sagarva', 'pUrva'
'Not occuring', 'kElIPorniyArAjyam', 'kelIPorniyArAjyam', 'puzpitA', 'vanam', 'ulleKaH'
'Not occuring', 'kokaRaviBAgaH', 'koNkaRaH', 'vatiH', 'vizva', 'yaTA॒'
'Not occuring', 'koSapewakaH', 'koSapewakam', 'anantaram', 'praGARaH', 'dArvI'
'Rarely Occuring', 'koSikA', 'srAvi', 'saMyAvaH', 'yuyukKuraH', 'parisru'
' Frequently Occuring', 'krAntiH', 'krAntivalayaH', 'puzwa', 'aByAcitam', 'tulyaguRa'
' Frequently Occuring', 'kzatiH', 'apacayaH', 'romanTaH', 'puzpikA', 'palaNkazA'
'Not occuring', 'kzayita', 'hrAsita', 'abDiH', 'tanmaya', 'rogaH'
'Rarely Occuring', 'KaRqamodakaH', 'KaRqaH', 'nandikeSvaraH', 'avalok', 'stanaH'
'Rarely Occuring', 'gopanam', 'guhanam', 'namaskAraH', 'aBIkzRaM', 'kuSaRqa:'
'Not occuring', 'golPakrIqakaH', 'golPakrIqikA', 'sAMsArika', 'sADvasam', 'mAtaNgaH'
'Rarely Occuring', 'caYcala', 'apasyu', 'nirISvaravAdI', 'upagrahaH', 'yogaH'
'Rarely Occuring', 'calAcala', 'sTAvarajaNgama', 'sTaga', 'kalAvITikam', 'saNketaH'
'Not occuring', 'cAndIpuram', 'cAndIpuratawam', 'hrezA', 'utsfj', 'saMvatsaraH'
'Not occuring', 'janayudDa', 'janasaNgrAma', 'govindaH', 'gfhakArakaH', 'BagavatI'
'Not occuring', 'jantara', 'mantara', 'pratyAdeSaH', 'kroDaH', 'amaryAda'
'Not occuring', 'jIvARuroDin', 'jIvARuroDaka', 'mETu', 'KAdanam', 'pradAyaH'
'Rarely Occuring', 'jogiyA', 'sAraNgI', 'Darmavid', 'mApakaH', 'AyogaH'
'Not occuring', 'woronwonagaram', 'woranwonagaram', 'SiKAbalaH', 'GowikA', 'ESvaryam'
' Frequently Occuring', 'tantraH', 'SElI', 'pat', 'pfTuvAhikA', 'vfScIrAH'
'Rarely Occuring', 'tArAmaRqalam', 'nakzatramaRqalam', 'vanya', 'sattama', 'vIRAprasevaH'
'Not occuring', 'tElavarRaH', 'tElaraNgaH', 'gAQam', 'uragaH', 'prasUtiH'
'Not occuring', 'TrImAila', 'AIlERqakzetram', 'kUwaH', 'rasAyanakarmagfham', 'upaSlAGA'
'Not occuring', 'dIrGotpIWikA', 'leKanapIWaH', 'SiKiDvajaH', 'gopanam', 'nyagroDI'
'Rarely Occuring', 'duzpraBAvaH', 'kupraBAvaH', 'BUtasaMcAraH', 'kavAwaH', 'sattA'
'Not occuring', 'dUrasaYcAra', 'viBAgaH', 'bAlakaH', 'kzupaH', 'nirvfttiH'
'Rarely Occuring', 'dfSyatA', 'dfSyatvam', 'avAk', 'haritAlam', 'dEvAyattaH'
'Not occuring', 'DanurvidyA', 'DanuzkrIqA', 'guptANgam', 'varRitAH', 'prakramaH'
'Not occuring', 'DEryatA', 'pariDAraRA', 'garuqaH', 'gOrI', 'AmAtisAraH'
' Frequently Occuring', 'nagara', 'vikAsa', 'aSASvatatA', 'dIna', 'sara'
' Frequently Occuring', 'nArAyaRI', 'nArAyaRInadI', 'kzAmatA', 'kiRaH', 'GowikA'
'Not occuring', 'nArAyaRIkzetram', 'nArAyaRI', 'ADUmaya', 'darduraH', 'smftiH'
'Rarely Occuring', 'nimIlanam', 'nimizanam', 'samava', 'tosalaH', 'vraj'
'Not occuring', 'nimbabIjam', 'arizwabIjam', 'gatimat', 'unnatiSIla', 'AvAhaH'
'Not occuring', 'niyantraka', 'taTA', 'samBAraH', 'upadravaH', 'ditisutaH'
'Rarely Occuring', 'niyantrakaH', 'taTA', 'BAzAntaram', 'smarAN', 'vivAha'
'Not occuring', 'niraBra', 'svacCa', 'nirAkaraRam', 'puRyam', 'kazaRa'
'Rarely Occuring', 'niroDanam', 'pratibanDanam', 'ASAbanDaH', 'saMrakzaRam', 'yugam'
' Frequently Occuring', 'nivAsI', 'aDivAsI', 'pawwaH', 'yogIndraH', 'jayAvahA'
' Frequently Occuring', 'nivfttiH', 'sevAnivfttiH', 'anukArin', 'yaTAkramam', 'SaraH'
'Not occuring', 'nizeDoktiH', 'virudDavacanam', 'waॉvara', 'ullAGaHuzaRam', 'parakIya'
' Frequently Occuring', 'nItiH', 'nAyaH', 'aBipretam', 'raNgasTalam', 'Ada'
' Frequently Occuring', 'nyU', 'boNgAIgAvamaRqalam', 'cihnam', 'saMyamI', 'vERavapawI'
' Frequently Occuring', 'nyU', 'sAuTa', 'vicint', 'vaRWaraH', 'saMvlI'
' Frequently Occuring', 'patrikA', 'padaBaYjikA', 'SvetahastI', 'go', 'suptam'
'Not occuring', 'parisamutsuka', 'paryutsuka', 'avazwamB', 'maYjI', 'AGAtaH'
'Not occuring', 'parisImA', 'pArAvAraH', 'saMvarDanam', 'kidfk', 'fRapradAtA'
'Rarely Occuring', 'paryAvaraRa', 'mantrAlayaH', 'vicarzaRi', 'a', 'lepaH'
'Rarely Occuring', 'paryAvaraRa', 'mantrAlayaH', 'ihakAlaH', 'nIruja', 'nirvfttiH'
'Not occuring', 'pAkzika', 'pAkzikapatrikA', 'surasA', 'kOqyaH', 'vyavasTita'
'Rarely Occuring', 'pAdatrARam', 'upAnah', 'suhft', 'paTyA', 'gajapippalI'
'Not occuring', 'pAvakavfttiH', 'dahanadurgam', 'kuJawiH', 'rakta', 'dugDatAlIyam'
'Not occuring', 'puRyanagarIyaH', 'puRyanagarIyA', 'jaraRqA', 'BAratIyA', 'pariSezaya'
'Not occuring', 'punarvAsa', 'kendram', 'SaNKapuzpI', 'JarJarI', 'vAtikatvam'
'Not occuring', 'pulinaH', 'pulinam', 'ABAsaH', 'BezajIya', 'vakragAmin'
'Rarely Occuring', 'pUrvAnumatiH', 'pUrvAnujYA', 'sarvaBogya', 'manoDyAnaH', 'aYjasa'
'Not occuring', 'pfTuvAhinI', 'pfTuvAhikA', 'atiSayanam', 'akampAyamAna', 'utsmayaH'
'Not occuring', 'pensilaveniyArAjyam', 'penasilaveniyArAjyam', 'dayA', 'dIptaH', 'Arohaka'
' Frequently Occuring', 'prakAraH', 'rUpam', 'nizkAsita', 'mAMsala', 'rohiRI'
'Not occuring', 'pracAlakaH', 'saYcAlakaH', 'kozADyakzaH', 'AdeSaH', 'anuDAvanam'
'Not occuring', 'pracAlayanam', 'viDUnanam', 'ApIqaya', 'anAtapaH', 'lubDatA'
'Not occuring', 'prajAtantrIya', 'lokatantrIya', 'cetanaDarmAropaH', 'prahAraH', 'sPuwiH'
'Rarely Occuring', 'praDAnamantri', 'kAryAlayaH', 'niHsampAtaH', 'parIkzA', 'atyAnandaH'
'Rarely Occuring', 'prabala', 'mahat', 'sandehAspada', 'vargahIna', 'jalajaH'
'Rarely Occuring', 'prabalatA', 'gAQatA', 'ananyacittatA', 'tAlISapatram', 'SIlatvam'
'Not occuring', 'pravartana', 'nideSAlayaH', 'jagad', 'gajozaRa', 'sanAtanama'
'Not occuring', 'praSnAtmaka', 'praSnArTaka', 'gal', 'DUmaH', 'patrapuwam'
'Rarely Occuring', 'prasADana', 'gfham', 'muc', 'nAraNgam', 'lalanA'
'Not occuring', 'prARimAtram', 'prARijAtiH', 'antyezwiH', 'puRyAtman', 'samakAlika'
'Rarely Occuring', 'prATamika', 'cikitsA', 'maDyamA', 'aByarcA', 'maRiBUmiH'
'Rarely Occuring', 'prATamikatA', 'varIyatA', 'avidvezaH', 'tuq', 'hfdayavyADi'
'Rarely Occuring', 'prAramBika', 'sArvajanika', 'kzayaH', 'ripusUdana', 'janmaBUmiH'
'Not occuring', 'PAtihAH', 'PAtyAH', 'vyAjaH', 'gatihInaH', 'AvApaH'
' Frequently Occuring', 'banDuH', 'bAnDavaH', 'vasika', 'vismayin', 'jAtikoSI'
'Not occuring', 'bahiHsrAvi', 'granTiH', 'hatajalpitam', 'akaraRIya', 'parizad'
'Rarely Occuring', 'bahujana', 'samAja', 'suPalaprada', 'samBavaH', 'sakriyatA'
'Rarely Occuring', 'bahujana', 'samAjavAdI', 'suvarRa', 'jIvanI', 'SiraH'
'Rarely Occuring', 'bAnDavyam', 'kOwumbam', 'upalabDiH', 'asTUla', 'koze'
'Rarely Occuring', 'bENka', 'APa', 'saNketaH', 'kAmAyanI', 'tadA'
'Not occuring', 'BapaNgavAdyam', 'bopaNgavAdyam', 'vfttAntaH', 'Pull', 'lohita'
'Not occuring', 'BUmudgakaRaH', 'BUmudgakaRIkA', 'kakzAprabanDaH', 'nigraha', 'qAhukaH'
'Rarely Occuring', 'maDumeha', 'viSezajYaH', 'anAmakam', 'maDupriyaH', 'jUwaH'
' Frequently Occuring', 'maDyaH', 'kendram', 'antakAlaH', 'cakzuH', 'nivAsI'
' Frequently Occuring', 'manda', 'cirakArin', 'mahArARApratApaH', 'prakampaya', 'mattavilAsIni'
'Not occuring', 'mahADiveSanam', 'mahAsammelanam', 'hawwamaRqapaH', 'ArogyavidyA', 'syand'
'Not occuring', 'mahAleKA', 'parIkzakaH', 'SAkra', 'bahurAzwrIya', 'gfhaBUmi'
'Rarely Occuring', 'mahASivarAtriH', 'SivarAtriH', 'upaklinna', 'drAG', 'KaRq'
'Not occuring', 'mANganayArajAtiH', 'mANgaRiyArajAtiH', 'mArISasagaRarAjyam', 'vigaRanapatram', 'Aspadam'
'Not occuring', 'mArPata', 'mAraPatam', 'dvAre', 'prAkftikakAryam', 'Otpattika'
'Not occuring', 'mArPatam', 'mAraPatam', 'gatakAlaH', 'AlasyaH', 'janayitA'
' Frequently Occuring', 'muKya', 'kAryakArI', 'aMhata', 'jalpAkaH', 'SyAnadravyam'
'Not occuring', 'mudu', 'pelava', 'muRqaya', 'prakzAlanam', 'saMpAdaya'
'Not occuring', 'mudrakam', 'mudraRayantram', 'aBipUjaya', 'cEtrikaH', 'pARikA'
'Not occuring', 'mUtranalikA', 'mUtravAhikA', 'mandAkzam', 'deSaH', 'vid'
' Frequently Occuring', 'meksiko', 'aKAtam', 'nAsA', 'vITiH', 'cOtyamuKaH'
'Not occuring', 'mowara', 'vAhana', 'divasaH', 'nAgabalaH', 'antaHpurikaH'
'Not occuring', 'mosulanagaram', 'mosUlanagaram', 'muKam', 'vakrIBAvaH', 'koNkaRaH'
'Rarely Occuring', 'yutakam', 'antaryutakam', 'BraMS', 'gaRatAntrika', 'nyUnatA'
'Not occuring', 'yUko', 'bENka', 'karRaveDin', 'vakzoruhaH', 'pUrRaH'
'Rarely Occuring', 'yoDanam', 'dvandvaH', 'apavAdaH', 'CattraBaNgaH', 'kzupA'
' Frequently Occuring', 'rakzakaH', 'trAtA', 'sahanIya', 'mezaH', 'mantradrazwA'
' Frequently Occuring', 'rakzA', 'anusanDAnam', 'gula', 'kzatiH', 'mahanaH'
'Rarely Occuring', 'rAjakozaH', 'rAjakoSaH', 'kzal', 'revatiBavaH', 'saMkIrtaya'
'Not occuring', 'rAjakozIya', 'rAjakoSIya', 'mAnaH', 'uttejay', 'durvacam'
'Rarely Occuring', 'rAjatA', 'svADipatyam', 'veRikA', 'santAnaH', 'saGozavikrayaH'
'Not occuring', 'rAzwravyApin', 'deSavyApin', 'samparimud', 'upatyakA', 'BOmavAsaraH'
'Not occuring', 'rAzwrahitam', 'deSahitam', 'aMhata', 'koSapewakam', 'sTiram'
'Rarely Occuring', 'rAsAya', 'cikitsA', 'marIcam', 'vArtikaH', 'parispand'
'Not occuring', 'laNgA', 'mANganayArO', 'CattrA', 'rAjakulam', 'aBiprayAyin'
'Not occuring', 'lawakiyA', 'nOkAsTAnam', 'nandaraH', 'aBirakzA', 'bfhatPalAmahAjumbUHmahendra'
'Not occuring', 'lukAsaPilma', 'limiweqa', 'paTaH', 'upamA', 'anArdratA'
'Rarely Occuring', 'luptaprAya', 'loponmuKa', 'lomaSaH', 'prasPur', 'praharzaRaH'
'Not occuring', 'lEwina', 'amerikAdeSaH', 'valluram', 'prIRanam', 'vizayaH'
'Not occuring', 'varAnanaH', 'sumuKaH', 'AvaliH', 'praharaRam', 'vikAsaH'
'Rarely Occuring', 'varAnanA', 'sumuKI', 'balaBadraH', 'alohita', 'pratIhAsaH'
'Not occuring', 'vastraPalakam', 'lalAmam', 'AjYA', 'qaॉminikadeSIya', 'gfhyaka'
'Rarely Occuring', 'vAcaspatimiSraH', 'vAcaspatiH', 'dayA', 'sama', 'samupAgam'
'Rarely Occuring', 'vAwI', 'vAwaH', 'vyatirikta', 'atyanta', 'Bariman'
'Not occuring', 'vAnanirIkzaRI', 'dUradarSanayantram', 'upakruS', 'vizkamBam', 'avinayaH'
'Rarely Occuring', 'vittakozaH', 'DanAgAraH', 'pakva', 'ruD', 'rogI'
'Rarely Occuring', 'videSa', 'mantrAlayaH', 'jaqa', 'dantakaTA', 'ASvAsanam'
'Rarely Occuring', 'videSa', 'mantrAlayaH', 'vyaTanam', 'kOramaH', 'toNga'
' Frequently Occuring', 'vimAna', 'paricArikA', 'AtaMs', 'viruD', 'nivid'
'Not occuring', 'vilokanam', 'IkzaRam', 'bfhatPalaH', 'balaBadrikA', 'udakabinduH'
'Rarely Occuring', 'vistIrRa', 'vistfta', 'apaniDA', 'BUkadambakaH', 'yaTASradDam'
'Rarely Occuring', 'visPowaH', 'sPowaH', 'AjyapAtram', 'saMKyAnam', 'tucCaya'
'Rarely Occuring', 'vfzaRaH', 'vIryakozaH', 'BAgaH', 'paryARam', 'SivA'
'Not occuring', 'vetana', 'AyogaH', 'vaNgam', 'aSastra', 'jvaraH'
' Frequently Occuring', 'vyAKyAtA', 'prADyApakaH', 'yajamAnaH', 'JaYJAvAtaH', 'saMmuKIkf'
'Not occuring', 'SilApawwaH', 'SilAKaRqaH', 'kulIraH', 'dfQoktiH', 'prAtikUlyam'
' Frequently Occuring', 'Suzka', 'parijIrRa', 'vArtikaH', 'apAs', 'tAlISapatram'
'Not occuring', 'SradDAhIna', 'SradDArahita', 'yajYakuRqam', 'Endram', 'apratibanDa'
'Rarely Occuring', 'saYcayaH', 'samBAraH', 'cUzapatram', 'udita', 'satarkatA'
'Rarely Occuring', 'saYcAlaka', 'maRqalam', 'nEmittaH', 'tulAyazwi', 'dantakaTA'
'Rarely Occuring', 'samAjavAdI', 'pakzaH', 'anudra', 'kabarI', 'kaRwakaH'
'Rarely Occuring', 'samAjasevakaH', 'samAjasevI', 'mAraRam', 'vyAyAmaH', 'rasAYjanam'
'Not occuring', 'samboDita', 'ABAzita', 'viwapAntaritas', 'kambojaH', 'DAvaya'
' Frequently Occuring', 'sADanA', 'ArADanA', 'gaRaH', 'sAmIpyam', 'cirakAlika'
' Frequently Occuring', 'sAmAjika', 'jAlaka', 'aBiyAtin', 'yAmiH', 'mftkAMsyam'
' Frequently Occuring', 'sAmAnya', 'vijYAnam', 'mahat', 'yugam', 'suKadAyI'
'Rarely Occuring', 'sinDI', 'sAraNgI', 'agamya', 'avasTApita', 'buDita'
' Frequently Occuring', 'sIsam', 'sIsakam', 'jIvikA', 'astaM', 'kucandanam'
'Not occuring', 'suKadAyaka', 'suKaBogavat', 'saMtrAsaH', 'puzpadantaH', 'gam'
'Rarely Occuring', 'senADikArI', 'sEnyADikArI', 'akarqiyanavAdyam', 'avagAhanam', 'asnigDa'
'Rarely Occuring', 'sEna', 'PrAMsiskonagaram', 'upacIya', 'samAplu', 'anudarSanam'
'Not occuring', 'sPawikapraBa', 'maRimaya', 'mantragaRqakaH', 'bfMh', 'mandozRa'
'Not occuring', 'sPUrjanam', 'vidAraRam', 'todaH', 'hemapuzpikA', 'kfcCra'
'Rarely Occuring', 'svacCa', 'acCa', 'aparyApta', 'kollakaHkonvaH', 'saMvyUQa'
'Not occuring', 'hamabanwowA', 'nOkAsTAnam', 'jarjara', 'praboDaya', 'guRahIna'
'Not occuring', 'hAravarqaviSvavidyAlayaH', 'haॉravarqaviSvavidyAlayaH', 'zawpadI', 'maYjuzA', 'viDivattA'
'Rarely Occuring', 'hfdayAGAtaH', 'hfdgrahaH', 'veRI', 'GuRi', '10000'
'Rarely Occuring', 'hfdayAGAtaH', 'hfdgrahaH', 'daDitTaH', 'samAsad', 'avinayaH'
'Not occuring', 'hEmabarganagaram', 'hamabarganagaram', 'DAtumAriRI', 'kftaBaya', 'amAnuzika'
' Frequently Occuring', 'aja', 'ajanma', 'Sa', 'kizkuH', 'sAgaraH'
' Frequently Occuring', 'aSuBa', 'amaNgala', 'rajoharaH', 'jyotizmatI', 'hfzwa'
'Rarely Occuring', 'pavitrasTAnam', 'puRyaBUmiH', 'jalpaka', 'gaRqakaH', 'saraRam'
'Not occuring', 'apavitrasTAnam', 'apuRyaBUmiH', 'praglE', 'asram', 'viDiH'
'Rarely Occuring', 'satkarma', 'satkAryam', 'Cara', 'samparkaH', 'aDikoza'
'Rarely Occuring', 'utpanna', 'utpAdana', 'sadAcAraH', 'mAMsala', 'agadaH'
'Rarely Occuring', 'dOrjanyam', 'dOrAtmyam', 'bAlakaH', 'buDarata', 'mUtravAhikA'
'Rarely Occuring', 'atyAcAraH', 'anAcAraH', 'nigrahaRam', 'mataBedarahita', 'rAjaparijanaH'
'Not occuring', 'kapawaprabanDaH', 'AlajAlam', 'udasta', 'AtmastutiH', 'SAkavikretA'
'Rarely Occuring', 'svecCAcAraH', 'yATAkAmI', 'parvatArohI', 'kARqaH', 'parivAdI'
'Rarely Occuring', 'duzkarma', 'apakarma', 'tilakalkaH', 'svAyattIkf', 'nAgaH'
' Frequently Occuring', 'ajYa', 'akzuRRa', 'kartavyapAlanam', 'grAsa', 'SuzkaHSuzkawa'
'Not occuring', 'apravIRa', 'akuSala', 'dvayI', 'aparipakva', 'nirIhA'
'Rarely Occuring', 'ayogya', 'agamya', 'sakft', 'param', 'aBayA'
'Not occuring', 'navaka', 'navacCAtra', 'apa', 'mahAsaNGaH', 'tuvarI'
'Not occuring', 'akzama', 'vyavahArAyogya', 'pradeSavAdaH', 'peqA', 'malinapraBa'
' Frequently Occuring', 'mUrKa', 'mUQa', 'viSrAntiH', 'nirdizwa', 'sUkzmA'
'Rarely Occuring', 'apracalita', 'avyavahfta', 'mokzaya', 'vastrAlayaH', 'anATatvam'
'Rarely Occuring', 'nipuRa', 'pravIRa', 'nigrah', 'prasPowavarzaRam', 'kf'
' Frequently Occuring', 'kzama', 'samarTa', 'avadAta', 'praRAlI', 'vijYAnam'
'Rarely Occuring', 'Sizwa', 'Badra', 'catuzpuRqrA', 'Anam', 'kuwumbI'
'Not occuring', 'naraBakzaka', 'mAnavaBakzaka', 'rogakArin', 'unmugDaH', 'atikaTa'
' Frequently Occuring', 'anATa', 'nirnATa', 'kawugranTiH', 'mugDa', 'vidArI'
'Not occuring', 'asahAya', 'niHsahAya', 'viloqanam', 'AliTita', 'anukUlatA'
'Not occuring', 'apitfka', 'pitfhIna', 'sakriya', 'upasaMhf', 'saMvittiH'
'Not occuring', 'sADanahIna', 'sADanavihIna', 'kalla', 'devavARI', 'AjI'
'Rarely Occuring', 'SfgAlI', 'SfgAlikA', 'okolehAo', 'gamyamAna', 'nirupAKya'
'Not occuring', 'mAtfhIna', 'mAtfvihIna', 'asaNgata', 'aBicAramantraH', 'aparokza'
'Not occuring', 'sADanasampanna', 'sADanapUrRa', 'yAmalam', 'darpaRaH', 'prasAdaya'
'Rarely Occuring', 'apamAnaH', 'BartsanA', 'vyapekzA', 'Boktf', 'yavasurA'
'Not occuring', 'aSizwatA', 'aBadratA', 'pratigam', 'puwakaH', 'banDuBAvaH'
' Frequently Occuring', 'AdaraH', 'satkAraH', 'daRqanIya', 'nirRI', 'ApI'
'Not occuring', 'nAmahIna', 'anAma', 'gula', 'krAsa', 'iqApAtrI'
'Not occuring', 'divyaSaktiH', 'sarvoccaSaktiH', 'antya', 'alasa', 'SIkara'
' Frequently Occuring', 'nAmaka', 'aBiDeya', 'KaqgikaH', 'avakrayaH', 'laNGanIya'
'Not occuring', 'aprayatnataH', 'prayatnahInataH', 'duHKamaya', 'dfB', 'apaWanIya'
'Rarely Occuring', 'anAvaraRam', 'anAcCAdanam', 'grahaRIya', 'kEsIpurA', 'ganDaPalA'
'Rarely Occuring', 'kAYcanAraH', 'kovidAraH', 'prahf', 'tIkzRA', 'jagadantaka'
'Rarely Occuring', 'kAYcanAraH', 'kovidAraH', 'arTAntaratA', 'piC', 'madirAlayaH'
'Not occuring', 'kampostapAMSuH', 'kampostapAMsuH', 'aBetavya', 'pratyakzadarSI', 'mandawaH'
'Not occuring', 'rahasyaBedanam', 'sPowaH', 'dogDrI', 'parizkfta', 'kiSalaH'
'Not occuring', 'avyavasTita', 'anavasTita', 'sukarAtaH', 'aDyApikA', 'hfdi'
'Not occuring', 'niraNkuSa', 'svecCAcArin', 'IkzaRam', 'suKadAyaka', 'sTagaya'
'Rarely Occuring', 'sahfdayatA', 'anfSaMsatA', 'nata', 'ketanam', 'saMdeSaharaH'
'Rarely Occuring', 'sAmaYjasyam', 'sOmanasyam', 'miSrarAgaH', 'pratiprayARam', 'utTAnam'
'Not occuring', 'nagnatA', 'pariDAnahInatA', 'AKyAyikA', 'upAtta', 'parASrayitA'
'Not occuring', 'gopanIyatA', 'guptatA', 'pannagASanaH', 'anvitA', 'ASAs'
'Rarely Occuring', 'pratikUlatA', 'viparItatA', 'bAdaram', 'catuzpadaH', 'pAruzyam'
'Rarely Occuring', 'sadguRaH', 'guRaH', 'aNgavikalaH', 'sAma', 'mInaketanaH'
'Rarely Occuring', 'raktadAnam', 'ruDiradAnam', 'aprItikara', 'gomedaH', 'ataH'
