('aKila', 'a)niKila', 'b)yamaH', 'c)indrajAlam', 'd)karkawaSfNgI')
('upatyakA', 'a)aDoBUmiH', 'b)tripuraH', 'c)DUmikA', 'd)niHsatva')
('fzi', 'a)paYcamI', 'b)paryaw', 'c)SlezmA', 'd)AveSaH')
('ecaqIePasI', 'a)bENka', 'b)kakudmAn', 'c)ijipta', 'd)avizamaH')
('epala', 'a)udyogasaMsTA', 'b)iti', 'c)videSa', 'd)parihA')
('ऑksaParqaviSvavidyAlayaH', 'a)ऑksaPorqa', 'b)darSana', 'c)prezyam', 'd)vihAraH')
('ऑksaPorqanagaram', 'a)AksParqanagaram', 'b)BrAtA', 'c)AruReya', 'd)saMsekaH')
('kanizWA', 'a)kanizWa', 'b)mImAMsA', 'c)syUnaH', 'd)yadi')
('karma', 'a)BUmikA', 'b)anilaculliH', 'c)haritparRam', 'd)apagam')
('kAnDAranagaram', 'a)kanDAranagaram', 'b)SuBam', 'c)girikarRA', 'd)SakrabIjam')
('kuwIravAsI', 'a)kOwIryA', 'b)nAmaka', 'c)pawizWa', 'd)udraH')
('kuwumbaH', 'a)kuwumbam', 'b)asosIeSana', 'c)sahaDarmiRI', 'd)tAmrapatram')
('kUragIBAzA', 'a)koqaguBAzA', 'b)SaMsya', 'c)abrahmaRyam', 'd)todanam')
('kfzRanetrapawalam', 'a)kfzRapawalam', 'b)aDilABAMSaH', 'c)nirvidya', 'd)grAmAH')
('kendram', 'a)kaRwakam', 'b)upaBuj', 'c)SroRiH', 'd)vASram')
('kendrIya', 'a)Arakzitapulisabalam', 'b)ulmUkam', 'c)pratisAraRam', 'd)pratikftiH')
('kendrIya', 'a)BUmigata', 'b)caraH', 'c)piculaH', 'd)loBAnvita')
('kendrIya', 'a)satarkatA', 'b)pratiyogitA', 'c)upasa', 'd)mukta')
('kendrIya', 'a)satarkatA', 'b)BOrikI', 'c)vAtsalyatA', 'd)adAkziRyam')
('kElIPorniyArAjyam', 'a)kelIPorniyArAjyam', 'b)praBU', 'c)arkapAdapaPalam', 'd)SokapUrRa')
('kokaRaviBAgaH', 'a)koNkaRaH', 'b)DArakaH', 'c)DArikA', 'd)vizkamBI')
('koSapewakaH', 'a)koSapewakam', 'b)bahujana', 'c)sTApaya', 'd)kalakalaH')
('koSikA', 'a)srAvi', 'b)SaSikaraH', 'c)anAgas', 'd)pApam')
('krAntiH', 'a)krAntivalayaH', 'b)vAcakaH', 'c)veDakaH', 'd)aBiDeya')
('kzatiH', 'a)apacayaH', 'b)SAdvalatA', 'c)nipuRIBU', 'd)kark')
('kzayita', 'a)hrAsita', 'b)parivftta', 'c)nirvft', 'd)SiKAmUlam')
('KaRqamodakaH', 'a)KaRqaH', 'b)SuBotsavaH', 'c)mfd', 'd)prahfza')
('guruH', 'a)tIrTam', 'b)pratipanna', 'c)vyayaSIla', 'd)viroDoktiH')
('gopanam', 'a)guhanam', 'b)apavartita', 'c)viDU', 'd)nyAyAlayam')
('golPakrIqakaH', 'a)golPakrIqikA', 'b)kuliNgA', 'c)carmadaRqaH', 'd)anuSAsanam')
('caYcala', 'a)apasyu', 'b)AryaH', 'c)vadyapakzaH', 'd)Uhita')
('calAcala', 'a)sTAvarajaNgama', 'b)dUzita', 'c)jala', 'd)turaga')
('cAndIpuram', 'a)cAndIpuratawam', 'b)guRAguRajYaH', 'c)saMtodI', 'd)AtmavfttAntaracanam')
('citram', 'a)AleKyam', 'b)hiraRyAkzI', 'c)anvIkzaRam', 'd)sAvitrI')
('janayudDa', 'a)janasaNgrAma', 'b)caraRAmftam', 'c)kuwila', 'd)kleSaH')
('jantara', 'a)mantara', 'b)ruRwaya', 'c)aDikam', 'd)varhI')
('jala', 'a)BUvEjYAnikaH', 'b)Kalatvam', 'c)sadat', 'd)vinItatvam')
('jalaM', 'a)taTA', 'b)pratirUpatvam', 'c)saMmmilanam', 'd)saN')
('jIvARuroDin', 'a)jIvARuroDaka', 'b)mAlappuram', 'c)SitaDAra', 'd)varaRqa')
('jogiyA', 'a)sAraNgI', 'b)aSuBam', 'c)samutTApaya', 'd)avaSyaMBAvitA')
('wIkA', 'a)wippaRI', 'b)nIvI', 'c)vakragAmin', 'd)anyadeSIya')
('woronwonagaram', 'a)woranwonagaram', 'b)kAntaH', 'c)kacCaBUmiH', 'd)kAryam')
('tantraH', 'a)SElI', 'b)SarIraSozaRam', 'c)Amram', 'd)dfggocara')
('tArAmaRqalam', 'a)nakzatramaRqalam', 'b)rugRAlayam', 'c)fRam', 'd)nyAyavAdI')
('tElavarRaH', 'a)tElaraNgaH', 'b)pratipAdya', 'c)goDUliH', 'd)sAvaDi')
('TrImAila', 'a)AIlERqakzetram', 'b)pratikartf', 'c)viracanam', 'd)prasaraRam')
('dakziRa', 'a)ASiyAI', 'b)BfkuwiH', 'c)coqakaH', 'd)pUgam')
('dakziRa', 'a)cIna', 'b)kulaparvataH', 'c)jilhApradeSaH', 'd)lajyA')
('dIrGotpIWikA', 'a)leKanapIWaH', 'b)satyavAdin', 'c)kalAnATaH', 'd)vyaYjakaH')
('duzpraBAvaH', 'a)kupraBAvaH', 'b)maryAdita', 'c)lakzaya', 'd)vAsantikaH')
('dUrasaYcAra', 'a)viBAgaH', 'b)uttejanam', 'c)asundara', 'd)dravadravyaH')
('dfSyatA', 'a)dfSyatvam', 'b)hAsyAspada', 'c)ambaraH', 'd)AsaYjanam')
('dvAram', 'a)nirgamanam', 'b)gajavadanaH', 'c)prakzip', 'd)syandinI')
('DanurvidyA', 'a)DanuzkrIqA', 'b)AramBaH', 'c)AlindaH', 'd)KamaRqalam')
('DEryatA', 'a)pariDAraRA', 'b)nidrAvihIna', 'c)stokam', 'd)navIkfta')
('nagara', 'a)vikAsa', 'b)pravAraRam', 'c)pacelukaH', 'd)BAz')
('nArAyaRI', 'a)nArAyaRInadI', 'b)aBiDA', 'c)prema', 'd)kfzRaH')
('nArAyaRIkzetram', 'a)nArAyaRI', 'b)anuvft', 'c)DAtupaYjarakam', 'd)utKac')
('nimIlanam', 'a)nimizanam', 'b)saMci', 'c)Bid', 'd)prasannatA')
('nimbabIjam', 'a)arizwabIjam', 'b)upalA', 'c)nizUdanam', 'd)viSvagata')
('niyantraka', 'a)taTA', 'b)pratF', 'c)mAtA', 'd)nAyaH')
('niyantrakaH', 'a)taTA', 'b)aBitfpta', 'c)sOrya', 'd)aDikArI')
('niyamaH', 'a)sidDAntaH', 'b)kalpaH', 'c)dvArapAlakaH', 'd)pAragamanam')
('niraBra', 'a)svacCa', 'b)inDanam', 'c)vimala', 'd)nistrapa')
('niroDanam', 'a)pratibanDanam', 'b)mahAnuBAvaH', 'c)kzaRaBaNguratA', 'd)anusamAp')
('nivAsI', 'a)aDivAsI', 'b)varAnanA', 'c)pracCanna', 'd)fkzarAjaH')
('nivfttiH', 'a)sevAnivfttiH', 'b)kfzRA', 'c)somayAgaH', 'd)dozaH')
('nizeDoktiH', 'a)virudDavacanam', 'b)tApanaH', 'c)vyApanam', 'd)sIriyA')
('nItiH', 'a)nAyaH', 'b)saDanaH', 'c)kuqyam', 'd)rAmatApaRi')
('nyU', 'a)boNgAIgAvamaRqalam', 'b)AnaMtyam', 'c)luW', 'd)taTyaH')
('nyU', 'a)sAuTa', 'b)AKyAta', 'c)EndrI', 'd)aravindam')
('paYjAba', 'a)neSanala', 'b)Acakz', 'c)gujarAtaH', 'd)samBAzaRam')
('patrikA', 'a)padaBaYjikA', 'b)kukftyam', 'c)aprADAnyam', 'd)kawutumbinI')
('parisamutsuka', 'a)paryutsuka', 'b)gavharam', 'c)CurikA', 'd)jaqa')
('parisImA', 'a)pArAvAraH', 'b)prasTAnam', 'c)malayagiriH', 'd)kAraRena')
('paryAvaraRa', 'a)mantrAlayaH', 'b)sadAcArin', 'c)roDanam', 'd)guRI')
('paryAvaraRa', 'a)mantrAlayaH', 'b)kzEreya', 'c)pallavakaH', 'd)upakramaH')
('pAkzika', 'a)pAkzikapatrikA', 'b)mahAsAgaraH', 'c)asamarTa', 'd)loDrakavf')
('pAdatrARam', 'a)upAnah', 'b)jaMh', 'c)DanarASiH', 'd)karparaH')
('pAvakavfttiH', 'a)dahanadurgam', 'b)vEjYAnika', 'c)aBiniryARam', 'd)Bavacakram')
('puRyanagarIyaH', 'a)puRyanagarIyA', 'b)mOktikAvali', 'c)cAkzuza', 'd)pAravaSya')
('punarvAsa', 'a)kendram', 'b)pitftarpaRam', 'c)lokatantram', 'd)KamaRqalam')
('pulinaH', 'a)pulinam', 'b)mAnam', 'c)takzakakriyA', 'd)saraH')
('pUrvAnumatiH', 'a)pUrvAnujYA', 'b)tulasI', 'c)strAvaRaH', 'd)ukanAhaH')
('pfTuvAhinI', 'a)pfTuvAhikA', 'b)gula', 'c)saMvij', 'd)droRagiriH')
('pensilaveniyArAjyam', 'a)penasilaveniyArAjyam', 'b)udyoga', 'c)swewa', 'd)nOkAM')
('prakAraH', 'a)rUpam', 'b)nirvEraH', 'c)SOlbikakarma', 'd)SivA')
('pracAlakaH', 'a)saYcAlakaH', 'b)nArAcaH', 'c)vyaBicAraH', 'd)apUrRatA')
('pracAlayanam', 'a)viDUnanam', 'b)nirudvigna', 'c)vikftiH', 'd)swewa')
('prajAtantrIya', 'a)lokatantrIya', 'b)Ayatanam', 'c)yamO', 'd)pAtrA')
('pradakziRam', 'a)pradakziRaH', 'b)anupayogitA', 'c)nyAyin', 'd)rudanam')
('praDAnamantri', 'a)kAryAlayaH', 'b)kucaH', 'c)dF', 'd)vizyanda')
('prabala', 'a)mahat', 'b)lohitAluH', 'c)gomuKam', 'd)parIkz')
('prabalatA', 'a)gAQatA', 'b)viqambanam', 'c)alaNGya', 'd)AGAtaH')
('pravartana', 'a)nideSAlayaH', 'b)saMSayaH', 'c)pratisAraya', 'd)kaRIkA')
('praSaMsA', 'a)patram', 'b)priyaNgu', 'c)tulasI', 'd)daDfk')
('praSnAtmaka', 'a)praSnArTaka', 'b)sampAWaya', 'c)kzayita', 'd)sakzama')
('prasADana', 'a)gfham', 'b)nirmajja', 'c)SrIsAIbAbAH', 'd)kArAgfham')
('prARimAtram', 'a)prARijAtiH', 'b)kraturAjaH', 'c)nAwaya', 'd)keRwa')
('prATamika', 'a)cikitsA', 'b)karaYjakaH', 'c)nirudaka', 'd)AtmakaTA')
('prATamikatA', 'a)varIyatA', 'b)apadeSaH', 'c)prApa', 'd)aBivyaYj')
('prAramBika', 'a)sArvajanika', 'b)aBimana', 'c)vAtsalyatA', 'd)kAmI')
('PAtihAH', 'a)PAtyAH', 'b)pOMsyam', 'c)aparADI', 'd)matsyabanDanam')
('banDuH', 'a)bAnDavaH', 'b)svadeSABimAnI', 'c)caceRqA', 'd)pracCadapawaH')
('bahiHsrAvi', 'a)granTiH', 'b)mfdula', 'c)maDupAtram', 'd)pratijYApatram')
('bahujana', 'a)samAja', 'b)awwaH', 'c)utpizwa', 'd)kevalatA')
('bahujana', 'a)samAjavAdI', 'b)praSaMsinI', 'c)kzi', 'd)kfzRavarRaH')
('bAnDavyam', 'a)kOwumbam', 'b)narayantram', 'c)saspfha', 'd)sEMhikeyaH')
('bENka', 'a)APa', 'b)vikArin', 'c)aDInatA', 'd)amalA')
('BapaNgavAdyam', 'a)bopaNgavAdyam', 'b)parirakzakaH', 'c)saMstAvaka', 'd)sunDAH')
('BAratIya', 'a)antarikza', 'b)ambAlikA', 'c)ramaRa', 'd)Asanne')
('BAratIya', 'a)rijarva', 'b)sTirAyuH', 'c)SataSatAni', 'd)pramArjaya')
('BAratIya', 'a)vARijya', 'b)kf', 'c)citrAkzupaH', 'd)nOkAGawwaH')
('BUmudgakaRaH', 'a)BUmudgakaRIkA', 'b)sAmagrI', 'c)hUravaH', 'd)asaNgatatA')
('maDumeha', 'a)viSezajYaH', 'b)vAhaya', 'c)raTASvaH', 'd)atiSayokti')
('maDyaH', 'a)kendram', 'b)catvAriMSa', 'c)akzakAsTi', 'd)pratiDvAnam')
('manda', 'a)cirakArin', 'b)dAtram', 'c)upanizad', 'd)ad')
('mahADiveSanam', 'a)mahAsammelanam', 'b)avarudDa', 'c)OpagrastikaH', 'd)SANKika')
('mahAleKA', 'a)parIkzakaH', 'b)rajanIjalam', 'c)dUrasamparkavyavasTA', 'd)svajanaH')
('mahASivarAtriH', 'a)SivarAtriH', 'b)saNgrahaH', 'c)arj', 'd)vyavaDAnam')
('mANganayArajAtiH', 'a)mANgaRiyArajAtiH', 'b)SiKarA', 'c)muc', 'd)KaRqaya')
('mAtA', 'a)AryA', 'b)sKal', 'c)saMniyuj', 'd)ulleKaH')
('mAtA', 'a)devI', 'b)ijyaH', 'c)Sasyakartanam', 'd)uddIpanam')
('mArPata', 'a)mAraPatam', 'b)pralayaH', 'c)navoQA', 'd)dOrAtmyam')
('mArPatam', 'a)mAraPatam', 'b)cikkaRa', 'c)werAkza', 'd)nirRejakaH')
('mukta', 'a)vimukta', 'b)vfzwimApakaH', 'c)taqAgaH', 'd)nIqoda')
('muKya', 'a)kAryakArI', 'b)aBisaMDiH', 'c)rucita', 'd)SambaH')
('mudu', 'a)pelava', 'b)aspazwataH', 'c)KedaH', 'd)otuH')
('mudrakam', 'a)mudraRayantram', 'b)DUmala', 'c)BazakaH', 'd)somarAjI')
('mUtranalikA', 'a)mUtravAhikA', 'b)vihan', 'c)paryAvaraRa', 'd)nizkftiH')
('meksiko', 'a)aKAtam', 'b)SvetagokarRI', 'c)ro', 'd)riP')
('mowara', 'a)vAhana', 'b)vijYA', 'c)aBipUjaya', 'd)citrA')
('mosulanagaram', 'a)mosUlanagaram', 'b)daRqaDArakaH', 'c)purAkAlInatA', 'd)sadAcArin')
('yutakam', 'a)antaryutakam', 'b)GawanAsTAnam', 'c)viSrabDam', 'd)SradDArahita')
('yUko', 'a)bENka', 'b)vaktram', 'c)vinirmokaH', 'd)akuSalatA')
('yojanA', 'a)paryAlocanA', 'b)prARAntika', 'c)vaYc', 'd)GanatA')
('yojanA', 'a)AyogaH', 'b)KaKawvA', 'c)SaNKadrAvaH', 'd)hrAsaya')
('yoDanam', 'a)dvandvaH', 'b)kaliH', 'c)majj', 'd)vIBatsa')
('rakzakaH', 'a)trAtA', 'b)atisundaratA', 'c)kadamba:', 'd)amaratvam')
('rakzA', 'a)anusanDAnam', 'b)dUradarSanam', 'c)vatsakabIjam', 'd)SivA')
('rAjakozaH', 'a)rAjakoSaH', 'b)AplavaH', 'c)nandinI', 'd)ra')
('rAjakozIya', 'a)rAjakoSIya', 'b)sOparRam', 'c)vijayin', 'd)DArAvarza')
('rAjatA', 'a)svADipatyam', 'b)vipula', 'c)gaganasparSin', 'd)antaHpuraH')
('rAzwravyApin', 'a)deSavyApin', 'b)nistF', 'c)suDA', 'd)DArakaH')
('rAzwrahitam', 'a)deSahitam', 'b)parAji', 'c)mahArARAkumBAH', 'd)BaRqIrI')
('rAsAya', 'a)cikitsA', 'b)astaM', 'c)prayogaH', 'd)aDivAcakaSabdaH')
('rijarva', 'a)bENka', 'b)aDizWAtA', 'c)vAlamfgaH', 'd)arimedaH')
('laNgA', 'a)mANganayArO', 'b)harmyam', 'c)malayajam', 'd)nIti')
('lawakiyA', 'a)nOkAsTAnam', 'b)AyattiH', 'c)AnuzaNgika', 'd)viciH')
('lukAsaPilma', 'a)limiweqa', 'b)pipAsAla', 'c)pratipad', 'd)saMgrahItA')
('luptaprAya', 'a)loponmuKa', 'b)kAkakaNguH', 'c)nisvara', 'd)parIkzA')
('lEwina', 'a)amerikAdeSaH', 'b)AtiSayyam', 'c)sAraRaH', 'd)Cid')
('varAnanaH', 'a)sumuKaH', 'b)baliM', 'c)satvaram', 'd)viSezatA')
('varAnanA', 'a)sumuKI', 'b)avinayaH', 'c)mAnaH', 'd)kapotavagA')
('vastraPalakam', 'a)lalAmam', 'b)nAwakam', 'c)uparuD', 'd)SItakumBaH')
('vAcaspatimiSraH', 'a)vAcaspatiH', 'b)aNgAraH', 'c)saRwAraRa', 'd)vEDatA')
('vAwI', 'a)vAwaH', 'b)dIrGajIvI', 'c)vaYcaTaH', 'd)indrakozaH')
('vARI', 'a)vAk', 'b)lokatAntrika', 'c)nagaram', 'd)uttaraNgavat')
('vAnanirIkzaRI', 'a)dUradarSanayantram', 'b)vizamacCadaH', 'c)vyAKyAnam', 'd)ruc')
('vittakozaH', 'a)DanAgAraH', 'b)pratolaya', 'c)varkaraH', 'd)manTAnadaRqaH')
('videSa', 'a)mantrAlayaH', 'b)tolaya', 'c)udDAraH', 'd)apasarpaH')
('videSa', 'a)mantrAlayaH', 'b)kzantavya', 'c)samBAraH', 'd)saMkarajAta')
('viBAgaH', 'a)BAgaH', 'b)janasevA', 'c)icCatvam', 'd)aparIkzaviSvAsin')
('vimAna', 'a)paricArikA', 'b)SastravihIna', 'c)avAp', 'd)alpamUlyatvam')
('vilokanam', 'a)IkzaRam', 'b)vinidratA', 'c)avaroDaH', 'd)sevA')
('vistIrRa', 'a)vistfta', 'b)mImAMsAdarSanam', 'c)SAkaSrezWaH', 'd)Kecara')
('visPowaH', 'a)sPowaH', 'b)yogAByAsaH', 'c)Buj', 'd)sfRiH')
('vfttiH', 'a)BAvaH', 'b)kfzRakAcaH', 'c)bIBatsarasaH', 'd)kfcCra')
('vfzaRaH', 'a)vIryakozaH', 'b)SElI', 'c)GozaH', 'd)dUtI')
('vetana', 'a)AyogaH', 'b)vizaRRa', 'c)pAlayati', 'd)pratisaraH')
('vyAKyAtA', 'a)prADyApakaH', 'b)sindrakaH', 'c)samPAlA', 'd)pracuram')
('SilApawwaH', 'a)SilAKaRqaH', 'b)mAMsarahita', 'c)vIravetasaH', 'd)antahIna')
('Suzka', 'a)parijIrRa', 'b)manuzyaH', 'c)waॉvara', 'd)darviH')
('SradDAhIna', 'a)SradDArahita', 'b)kaSerukI', 'c)adritanayA', 'd)pratigAmin')
('saMyukta', 'a)udyamaH', 'b)aBilAzaH', 'c)AsTAnagfham', 'd)anAryajAtiH')
('saMyukta', 'a)rAzwra', 'b)BAcakram', 'c)vastraPalakam', 'd)praboDaH')
('saYcayaH', 'a)samBAraH', 'b)parizad', 'c)varzaH', 'd)jogiyA')
('saYcAlaka', 'a)maRqalam', 'b)toraRam', 'c)vyavasTitataH', 'd)sahizRu')
('samAjavAdI', 'a)pakzaH', 'b)mAnam', 'c)kaRqolaH', 'd)jAtiH')
('samAjasevakaH', 'a)samAjasevI', 'b)siMhI', 'c)BapaNgavAdyam', 'd)mahAsnAyu')
('samboDita', 'a)ABAzita', 'b)piNgalarAgaH', 'c)KaqgikaH', 'd)sPuwa')
('sADanA', 'a)ArADanA', 'b)vi', 'c)SESavam', 'd)aBikriyA')
('sAma', 'a)sAmopacAraH', 'b)apakzapAtin', 'c)yatkiYcit', 'd)viSudDa')
('sAmAjika', 'a)jAlaka', 'b)cet', 'c)irya', 'd)prajAtAntrika')
('sAmAnya', 'a)vijYAnam', 'b)samBf', 'c)jAtyutpalam', 'd)pakzadvayam')
('sinDI', 'a)sAraNgI', 'b)dUtikA', 'c)giriH', 'd)aprAptavayaskaH')
('sIsam', 'a)sIsakam', 'b)vigaRya', 'c)mlAnendriyA', 'd)sUrmiH')
('suKadAyaka', 'a)suKaBogavat', 'b)parABUta', 'c)SAKAnagaram', 'd)aTa')
('senADikArI', 'a)sEnyADikArI', 'b)upagrahaH', 'c)yAtrikaH', 'd)niScitam')
('sEna', 'a)PrAMsiskonagaram', 'b)aBiBartsaya', 'c)ulmUkam', 'd)niGfzvaH')
('swewa', 'a)bEMka', 'b)hf', 'c)SudDakarman', 'd)kavacayukta')
('swewa', 'a)bENka', 'b)viyati', 'c)antaH', 'd)gopAlakAH')
('swewa', 'a)bENka', 'b)atasI', 'c)anAmakam', 'd)uttF')
('swewa', 'a)bENka', 'b)yAdavAH', 'c)AmayAvI', 'd)niKan')
('swewa', 'a)bENka', 'b)aDirohI', 'c)saMnyAsikaH', 'd)apArivArika')
('swewa', 'a)bENka', 'b)raka', 'c)senseSana', 'd)brahmaH')
('sPawikapraBa', 'a)maRimaya', 'b)parikzitram', 'c)kAryam', 'd)purAtattvavid')
('sPUrjanam', 'a)vidAraRam', 'b)Palada', 'c)girimAnaH', 'd)bahizkfta')
('svacCa', 'a)acCa', 'b)meDira', 'c)vicayaH', 'd)aRI')
('hamabanwowA', 'a)nOkAsTAnam', 'b)saMveSaH', 'c)mahAboDivfkza', 'd)BftyaH')
('hAravarqaviSvavidyAlayaH', 'a)haॉravarqaviSvavidyAlayaH', 'b)atIta', 'c)ajayA', 'd)recaka')
('hfdayAGAtaH', 'a)hfdgrahaH', 'b)sujanaH', 'c)kamra', 'd)vizadaH')
('hfdayAGAtaH', 'a)hfdgrahaH', 'b)supAWya', 'c)pAdapaTam', 'd)vakavfkzaH')
('hEmabarganagaram', 'a)hamabarganagaram', 'b)gulikA', 'c)muktakara', 'd)vayaHsTA')
('aja', 'a)ajanma', 'b)vakroktiH', 'c)kalindikA', 'd)samAkfz')
('aSuBa', 'a)amaNgala', 'b)atikrAnta', 'c)karkawakam', 'd)sampracakz')
('pavitrasTAnam', 'a)puRyaBUmiH', 'b)apakrI', 'c)nyagroDI', 'd)nIlatAlaH')
('apavitrasTAnam', 'a)apuRyaBUmiH', 'b)loham', 'c)Apad', 'd)aBiBaYj')
('AgataH', 'a)AgatA', 'b)samavaSizya', 'c)dyutikar', 'd)sTaviraH')
('jAta', 'a)janita', 'b)surakzA', 'c)cAturakaH', 'd)aBiparihf')
('satkarma', 'a)satkAryam', 'b)hemapuzpakaH', 'c)vikalatA', 'd)citrita')
('utpanna', 'a)utpAdana', 'b)saMjYA', 'c)vinazwa', 'd)vAlukAtmikA')
('dOrjanyam', 'a)dOrAtmyam', 'b)sAndra', 'c)tosalakaH', 'd)kfzRaPalI')
('atyAcAraH', 'a)anAcAraH', 'b)vismi', 'c)sIkaraH', 'd)tApasaH')
('kapawaprabanDaH', 'a)AlajAlam', 'b)antarIkzam', 'c)kruD', 'd)agamyA')
('svecCAcAraH', 'a)yATAkAmI', 'b)BfNa', 'c)mayUraSiKaH', 'd)SradDA')
('duzkarma', 'a)apakarma', 'b)cikitsASAlA', 'c)vaYcuka', 'd)BAratIyaH')
('Sasyam', 'a)DAnyam', 'b)sarvajYatvam', 'c)unmiz', 'd)netram')
('annam', 'a)KAdyaH', 'b)ka', 'c)bAjabahAduraH', 'd)rahasyam')
('ajYa', 'a)akzuRRa', 'b)jAgaraya', 'c)pramARita', 'd)kozADyakzaH')
('apravIRa', 'a)akuSala', 'b)kadambadaH', 'c)bIjaruhaH', 'd)kuzmARqI')
('ayogya', 'a)agamya', 'b)ozaDiH', 'c)palASam', 'd)AdeSaH')
('navaka', 'a)navacCAtra', 'b)BOtatulya', 'c)citr', 'd)camatkAraH')
